   1 | 02/18/2022 | 10:27:56 AM UTC | Event Logging Disabled #0xd6 | Log area reset/cleared | Asserted
   2 | 02/18/2022 | 10:29:51 AM UTC | System Boot Initiated #0xd5 | System Restart | Asserted
   3 | 02/18/2022 | 10:31:00 AM UTC | System Firmwares #0xde | System boot initiated | Asserted
   4 | 02/18/2022 | 10:41:04 AM UTC | System Boot Initiated #0xd5 | System Restart | Asserted
   5 | 02/18/2022 | 10:42:13 AM UTC | System Firmwares #0xde | System boot initiated | Asserted
   6 | 02/18/2022 | 10:47:53 AM UTC | reserved #0x6f | Transition to OK | Asserted
   7 | 02/18/2022 | 10:58:03 AM UTC | System Boot Initiated #0xd5 | System Restart | Asserted
   8 | 02/18/2022 | 10:58:30 AM UTC | reserved |  | Asserted
   9 | 02/18/2022 | 10:58:41 AM UTC | Fan #0x0f | Device Present | Asserted
   a | 02/18/2022 | 10:58:41 AM UTC | Fan #0x10 | Device Present | Asserted
   b | 02/18/2022 | 10:58:41 AM UTC | Fan #0x11 | Device Present | Asserted
   c | 02/18/2022 | 10:58:41 AM UTC | Fan #0x12 | Device Present | Asserted
   d | 02/18/2022 | 10:58:41 AM UTC | Fan #0x13 | Device Present | Asserted
   e | 02/18/2022 | 10:58:41 AM UTC | Fan #0x14 | Device Present | Asserted
   f | 02/18/2022 | 10:58:41 AM UTC | Fan #0x15 | Device Present | Asserted
  10 | 02/18/2022 | 10:58:41 AM UTC | Fan #0x16 | Device Present | Asserted
  11 | 02/18/2022 | 10:58:56 AM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
  12 | 02/18/2022 | 10:59:01 AM UTC | System ACPI Power State #0x5e | S0/G0: working | Asserted
  13 | 02/18/2022 | 04:11:34 PM UTC | Power Unit #0xe0 | AC lost | Asserted
  14 | 02/18/2022 | 04:11:35 PM UTC | System Boot Initiated #0xd5 | Initiated by power up | Asserted
  15 | 02/18/2022 | 04:11:45 PM UTC | Fan #0x0f | Device Present | Asserted
  16 | 02/18/2022 | 04:11:45 PM UTC | Fan #0x10 | Device Present | Asserted
  17 | 02/18/2022 | 04:11:45 PM UTC | Fan #0x11 | Device Present | Asserted
  18 | 02/18/2022 | 04:11:45 PM UTC | Fan #0x12 | Device Present | Asserted
  19 | 02/18/2022 | 04:11:45 PM UTC | Fan #0x13 | Device Present | Asserted
  1a | 02/18/2022 | 04:11:45 PM UTC | Fan #0x14 | Device Present | Asserted
  1b | 02/18/2022 | 04:11:45 PM UTC | Fan #0x15 | Device Present | Asserted
  1c | 02/18/2022 | 04:11:45 PM UTC | Fan #0x16 | Device Present | Asserted
  1d | 02/18/2022 | 04:12:03 PM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
  1e | 02/18/2022 | 04:12:08 PM UTC | System ACPI Power State #0x5e | S0/G0: working | Asserted
  1f | 02/18/2022 | 04:12:13 PM UTC | Power Supply #0xea | Presence detected | Asserted
  20 | 02/18/2022 | 04:12:13 PM UTC | Power Supply #0xeb | Presence detected | Asserted
  21 | 02/18/2022 | 04:14:55 PM UTC | Power Supply #0xeb | Power Supply AC lost | Asserted
  22 | 02/18/2022 | 04:15:38 PM UTC | Power Unit #0xe0 | AC lost | Asserted
  23 | 02/18/2022 | 04:15:39 PM UTC | System Boot Initiated #0xd5 | Initiated by power up | Asserted
  24 | 02/18/2022 | 04:15:49 PM UTC | Fan #0x0f | Device Present | Asserted
  25 | 02/18/2022 | 04:15:49 PM UTC | Fan #0x10 | Device Present | Asserted
  26 | 02/18/2022 | 04:15:49 PM UTC | Fan #0x11 | Device Present | Asserted
  27 | 02/18/2022 | 04:15:49 PM UTC | Fan #0x12 | Device Present | Asserted
  28 | 02/18/2022 | 04:15:49 PM UTC | Fan #0x13 | Device Present | Asserted
  29 | 02/18/2022 | 04:15:49 PM UTC | Fan #0x14 | Device Present | Asserted
  2a | 02/18/2022 | 04:15:49 PM UTC | Fan #0x15 | Device Present | Asserted
  2b | 02/18/2022 | 04:15:49 PM UTC | Fan #0x16 | Device Present | Asserted
  2c | 02/18/2022 | 04:16:07 PM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
  2d | 02/18/2022 | 04:16:12 PM UTC | System ACPI Power State #0x5e | S0/G0: working | Asserted
  2e | 02/18/2022 | 04:16:18 PM UTC | Power Supply #0xea | Presence detected | Asserted
  2f | 02/18/2022 | 04:16:18 PM UTC | Power Supply #0xeb | Presence detected | Asserted
  30 | 02/18/2022 | 04:20:10 PM UTC | Power Unit #0xe0 | AC lost | Asserted
  31 | 02/18/2022 | 04:20:11 PM UTC | System Boot Initiated #0xd5 | Initiated by power up | Asserted
  32 | 02/18/2022 | 04:20:21 PM UTC | Fan #0x0f | Device Present | Asserted
  33 | 02/18/2022 | 04:20:21 PM UTC | Fan #0x10 | Device Present | Asserted
  34 | 02/18/2022 | 04:20:21 PM UTC | Fan #0x11 | Device Present | Asserted
  35 | 02/18/2022 | 04:20:21 PM UTC | Fan #0x12 | Device Present | Asserted
  36 | 02/18/2022 | 04:20:21 PM UTC | Fan #0x13 | Device Present | Asserted
  37 | 02/18/2022 | 04:20:21 PM UTC | Fan #0x14 | Device Present | Asserted
  38 | 02/18/2022 | 04:20:21 PM UTC | Fan #0x15 | Device Present | Asserted
  39 | 02/18/2022 | 04:20:21 PM UTC | Fan #0x16 | Device Present | Asserted
  3a | 02/18/2022 | 04:20:40 PM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
  3b | 02/18/2022 | 04:20:45 PM UTC | System ACPI Power State #0x5e | S0/G0: working | Asserted
  3c | 02/18/2022 | 04:20:50 PM UTC | Power Supply #0xea | Presence detected | Asserted
  3d | 02/18/2022 | 04:20:51 PM UTC | Power Supply #0xeb | Presence detected | Asserted
  3e | 02/21/2022 | 09:56:15 AM UTC | Power Unit #0xe0 | AC lost | Asserted
  3f | 02/21/2022 | 09:56:16 AM UTC | System Boot Initiated #0xd5 | Initiated by power up | Asserted
  40 | 02/21/2022 | 09:56:25 AM UTC | Fan #0x0f | Device Present | Asserted
  41 | 02/21/2022 | 09:56:25 AM UTC | Fan #0x10 | Device Present | Asserted
  42 | 02/21/2022 | 09:56:25 AM UTC | Fan #0x11 | Device Present | Asserted
  43 | 02/21/2022 | 09:56:25 AM UTC | Fan #0x12 | Device Present | Asserted
  44 | 02/21/2022 | 09:56:25 AM UTC | Fan #0x13 | Device Present | Asserted
  45 | 02/21/2022 | 09:56:25 AM UTC | Fan #0x14 | Device Present | Asserted
  46 | 02/21/2022 | 09:56:25 AM UTC | Fan #0x15 | Device Present | Asserted
  47 | 02/21/2022 | 09:56:25 AM UTC | Fan #0x16 | Device Present | Asserted
  48 | 02/21/2022 | 09:56:44 AM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
  49 | 02/21/2022 | 09:56:49 AM UTC | System ACPI Power State #0x5e | S0/G0: working | Asserted
  4a | 02/21/2022 | 09:56:55 AM UTC | Power Supply #0xea | Presence detected | Asserted
  4b | 02/21/2022 | 09:56:55 AM UTC | Power Supply #0xeb | Presence detected | Asserted
  4c | 02/21/2022 | 10:02:02 AM UTC | Power Unit #0xe0 | Power off/down | Asserted
  4d | 04/22/2022 | 03:53:11 PM UTC | Power Unit #0xe0 | AC lost | Asserted
  4e | 04/22/2022 | 03:53:12 PM UTC | System Boot Initiated #0xd5 | Initiated by power up | Asserted
  4f | 04/22/2022 | 03:53:21 PM UTC | Fan #0x0f | Device Present | Asserted
  50 | 04/22/2022 | 03:53:21 PM UTC | Fan #0x10 | Device Present | Asserted
  51 | 04/22/2022 | 03:53:21 PM UTC | Fan #0x11 | Device Present | Asserted
  52 | 04/22/2022 | 03:53:21 PM UTC | Fan #0x12 | Device Present | Asserted
  53 | 04/22/2022 | 03:53:21 PM UTC | Fan #0x13 | Device Present | Asserted
  54 | 04/22/2022 | 03:53:21 PM UTC | Fan #0x14 | Device Present | Asserted
  55 | 04/22/2022 | 03:53:21 PM UTC | Fan #0x15 | Device Present | Asserted
  56 | 04/22/2022 | 03:53:21 PM UTC | Fan #0x16 | Device Present | Asserted
  57 | 04/22/2022 | 03:53:40 PM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
  58 | 04/22/2022 | 03:53:45 PM UTC | System ACPI Power State #0x5e | S0/G0: working | Asserted
  59 | 04/22/2022 | 03:53:51 PM UTC | Power Supply #0xea | Presence detected | Asserted
  5a | 04/22/2022 | 03:53:51 PM UTC | Power Supply #0xea | Power Supply AC lost | Asserted
  5b | 04/22/2022 | 03:53:51 PM UTC | Power Supply #0xeb | Presence detected | Asserted
  5c | 05/13/2022 | 01:56:17 PM UTC | Power Supply #0xeb | Config Error | Asserted
  5d | 05/13/2022 | 01:56:27 PM UTC | Power Supply #0xeb | Config Error | Deasserted
  5e | 05/19/2022 | 08:13:51 AM UTC | Voltage #0xc0 | Upper Non-critical going high | Asserted
  5f | 05/19/2022 | 08:13:51 AM UTC | Voltage #0xc0 | Upper Critical going high | Asserted
  60 | 05/19/2022 | 08:13:52 AM UTC | Voltage #0xc0 | Upper Critical going high | Deasserted
  61 | 05/19/2022 | 08:13:52 AM UTC | Voltage #0xc0 | Upper Non-critical going high | Deasserted
  62 | 05/24/2022 | 01:41:45 PM UTC | Voltage #0xc0 | Upper Non-critical going high | Asserted
  63 | 05/24/2022 | 01:41:45 PM UTC | Voltage #0xc0 | Upper Critical going high | Asserted
  64 | 05/24/2022 | 01:41:46 PM UTC | Voltage #0xc0 | Upper Critical going high | Deasserted
  65 | 05/24/2022 | 01:41:46 PM UTC | Voltage #0xc0 | Upper Non-critical going high | Deasserted
  66 | 05/29/2022 | 10:26:07 PM UTC | Power Supply #0xea | Config Error | Asserted
  67 | 05/29/2022 | 10:26:17 PM UTC | Power Supply #0xea | Config Error | Deasserted
  68 | 10/18/2022 | 12:21:53 PM UTC | Power Unit #0xe0 | AC lost | Asserted
  69 | 10/18/2022 | 12:22:00 PM UTC | OEM record c0 | 00cd3a | caee7102ffff
  6a | 10/18/2022 | 12:22:00 PM UTC | OEM record c0 | 00cd3a | caee7114ffff
  6b | 10/18/2022 | 12:22:01 PM UTC | OEM record c0 | 00cd3a | caeef102ffff
  6c | 10/18/2022 | 12:22:01 PM UTC | OEM record c0 | 00cd3a | caeef114ffff
  6d | 10/18/2022 | 12:22:24 PM UTC | System Boot Initiated #0xd5 | System Restart | Asserted
  6e | 10/18/2022 | 12:22:25 PM UTC | Fan #0x0f | Device Present | Asserted
  6f | 10/18/2022 | 12:22:25 PM UTC | Fan #0x10 | Device Present | Asserted
  70 | 10/18/2022 | 12:22:25 PM UTC | Fan #0x11 | Device Present | Asserted
  71 | 10/18/2022 | 12:22:25 PM UTC | Fan #0x12 | Device Present | Asserted
  72 | 10/18/2022 | 12:22:25 PM UTC | Fan #0x13 | Device Present | Asserted
  73 | 10/18/2022 | 12:22:25 PM UTC | Fan #0x14 | Device Present | Asserted
  74 | 10/18/2022 | 12:22:25 PM UTC | Fan #0x15 | Device Present | Asserted
  75 | 10/18/2022 | 12:22:25 PM UTC | Fan #0x16 | Device Present | Asserted
  76 | 10/18/2022 | 12:22:28 PM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
  77 | 10/18/2022 | 12:22:28 PM UTC | System ACPI Power State #0x5e | S0/G0: working | Asserted
  78 | 10/18/2022 | 12:22:33 PM UTC | Power Supply #0xea | Presence detected | Asserted
  79 | 10/18/2022 | 12:22:33 PM UTC | Power Supply #0xeb | Presence detected | Asserted
  7a | 10/18/2022 | 12:23:35 PM UTC | System Firmwares #0xde | System boot initiated | Asserted
  7b | 10/18/2022 | 12:28:33 PM UTC | Button #0xd8 | Power Button pressed | Asserted
  7c | 10/18/2022 | 12:28:49 PM UTC | Unknown #0xe4 | State Asserted | Asserted
  7d | 10/18/2022 | 12:28:51 PM UTC | Button #0xd8 | Power Button pressed | Asserted
  7e | 10/18/2022 | 12:28:51 PM UTC | Unknown #0xe4 | State Asserted | Deasserted
  7f | 10/18/2022 | 12:28:55 PM UTC | Power Unit #0xe0 | AC lost | Asserted
  80 | 10/18/2022 | 12:29:04 PM UTC | Button #0xd8 | Power Button pressed | Asserted
  81 | 10/18/2022 | 12:31:46 PM UTC | System Boot Initiated #0xd5 | System Restart | Asserted
  82 | 10/18/2022 | 12:46:01 PM UTC | Button #0xd8 | Power Button pressed | Asserted
  83 | 10/18/2022 | 12:46:14 PM UTC | Button #0xd8 | Power Button pressed | Asserted
  84 | 10/18/2022 | 12:46:18 PM UTC | Power Unit #0xe0 | AC lost | Asserted
  85 | 11/25/2024 | 03:48:06 PM UTC | Power Unit #0xe0 | AC lost | Asserted
  86 | 11/25/2024 | 03:48:07 PM UTC | OEM record c0 | 00cd3a | caef7104ffff
  87 | 11/25/2024 | 03:48:08 PM UTC | OEM record c0 | 00cd3a | caeff104ffff
  88 | 11/25/2024 | 03:48:15 PM UTC | Fan #0x0f | Device Present | Asserted
  89 | 11/25/2024 | 03:48:15 PM UTC | Fan #0x10 | Device Present | Asserted
  8a | 11/25/2024 | 03:48:15 PM UTC | Fan #0x11 | Device Present | Asserted
  8b | 11/25/2024 | 03:48:15 PM UTC | Fan #0x12 | Device Present | Asserted
  8c | 11/25/2024 | 03:48:15 PM UTC | Fan #0x13 | Device Present | Asserted
  8d | 11/25/2024 | 03:48:15 PM UTC | Fan #0x14 | Device Present | Asserted
  8e | 11/25/2024 | 03:48:15 PM UTC | Fan #0x15 | Device Present | Asserted
  8f | 11/25/2024 | 03:48:15 PM UTC | Fan #0x16 | Device Present | Asserted
  90 | 11/25/2024 | 03:48:30 PM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
  91 | 11/25/2024 | 03:48:36 PM UTC | System ACPI Power State #0x5e | S0/G0: working | Asserted
  92 | 11/25/2024 | 03:48:36 PM UTC | Power Supply #0xea | Presence detected | Asserted
  93 | 11/25/2024 | 03:48:36 PM UTC | Power Supply #0xeb | Presence detected | Asserted
  94 | 11/25/2024 | 03:48:36 PM UTC | Power Supply #0xeb | Power Supply AC lost | Asserted
  95 | 08/19/2026 | 11:27:35 PM UTC | Power Unit #0xe0 | AC lost | Asserted
  96 | 08/19/2026 | 11:27:36 PM UTC | System Boot Initiated #0xd5 | Initiated by power up | Asserted
  97 | 08/19/2026 | 11:27:46 PM UTC | Fan #0x0f | Device Present | Asserted
  98 | 08/19/2026 | 11:27:46 PM UTC | Fan #0x10 | Device Present | Asserted
  99 | 08/19/2026 | 11:27:46 PM UTC | Fan #0x11 | Device Present | Asserted
  9a | 08/19/2026 | 11:27:46 PM UTC | Fan #0x12 | Device Present | Asserted
  9b | 08/19/2026 | 11:27:46 PM UTC | Fan #0x13 | Device Present | Asserted
  9c | 08/19/2026 | 11:27:46 PM UTC | Fan #0x14 | Device Present | Asserted
  9d | 08/19/2026 | 11:27:46 PM UTC | Fan #0x15 | Device Present | Asserted
  9e | 08/19/2026 | 11:27:46 PM UTC | Fan #0x16 | Device Present | Asserted
  9f | 08/19/2026 | 11:27:53 PM UTC | OEM record c0 | 00cd3a | caef7104ffff
  a0 | 08/19/2026 | 11:27:54 PM UTC | OEM record c0 | 00cd3a | caee7104ffff
  a1 | 08/19/2026 | 11:27:54 PM UTC | OEM record c0 | 00cd3a | caeff104ffff
  a2 | 08/19/2026 | 11:27:55 PM UTC | OEM record c0 | 00cd3a | caeef104ffff
  a3 | 08/19/2026 | 11:28:05 PM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
  a4 | 08/19/2026 | 11:28:10 PM UTC | System ACPI Power State #0x5e | S0/G0: working | Asserted
  a5 | 08/19/2026 | 11:28:15 PM UTC | Power Supply #0xea | Presence detected | Asserted
  a6 | 08/19/2026 | 11:28:15 PM UTC | Power Supply #0xeb | Presence detected | Asserted
  a7 | 08/19/2026 | 11:28:15 PM UTC | Power Supply #0xeb | Power Supply AC lost | Asserted
  a8 | 08/19/2026 | 11:33:04 PM UTC | OEM record c0 | 00cd3a | caef7104ffff
  a9 | 08/19/2026 | 11:33:04 PM UTC | System Boot Initiated #0xd5 | System Restart | Asserted
  aa | 08/19/2026 | 11:33:05 PM UTC | OEM record c0 | 00cd3a | caee7104ffff
  ab | 08/19/2026 | 11:33:05 PM UTC | OEM record c0 | 00cd3a | caeff104ffff
  ac | 08/19/2026 | 11:33:06 PM UTC | OEM record c0 | 00cd3a | caeef104ffff
  ad | 08/19/2026 | 11:33:08 PM UTC | OEM record c0 | 00cd3a | 0fde7033ff10
  ae | 08/19/2026 | 11:33:08 PM UTC | OEM record c0 | 00cd3a | 0fde703bff10
  af | 08/19/2026 | 11:38:15 PM UTC | OEM record c0 | 00cd3a | caef7104ffff
  b0 | 08/19/2026 | 11:38:15 PM UTC | System Boot Initiated #0xd5 | System Restart | Asserted
  b1 | 08/19/2026 | 11:38:16 PM UTC | OEM record c0 | 00cd3a | caee7104ffff
  b2 | 08/19/2026 | 11:38:16 PM UTC | OEM record c0 | 00cd3a | caeff104ffff
  b3 | 08/19/2026 | 11:38:16 PM UTC | OEM record c0 | 00cd3a | caeef104ffff
  b4 | 08/19/2026 | 11:38:18 PM UTC | OEM record c0 | 00cd3a | 0fde7033ff10
  b5 | 08/19/2026 | 11:38:18 PM UTC | OEM record c0 | 00cd3a | 0fde703bff10
  b6 | 08/19/2026 | 11:43:25 PM UTC | OEM record c0 | 00cd3a | caef7104ffff
  b7 | 08/19/2026 | 11:43:25 PM UTC | System Boot Initiated #0xd5 | System Restart | Asserted
  b8 | 08/19/2026 | 11:43:26 PM UTC | OEM record c0 | 00cd3a | caee7104ffff
  b9 | 08/19/2026 | 11:43:26 PM UTC | OEM record c0 | 00cd3a | caeff104ffff
  ba | 08/19/2026 | 11:43:27 PM UTC | OEM record c0 | 00cd3a | caeef104ffff
  bb | 08/19/2026 | 11:43:29 PM UTC | OEM record c0 | 00cd3a | 0fde7033ff10
  bc | 08/19/2026 | 11:43:29 PM UTC | OEM record c0 | 00cd3a | 0fde703bff10
  bd | 08/19/2026 | 11:46:22 PM UTC | Button #0xd8 | Power Button pressed | Asserted
  be | 08/19/2026 | 11:46:24 PM UTC | Button #0xd8 | Power Button pressed | Asserted
  bf | 08/29/2026 | 09:50:07 AM UTC | Power Unit #0xe0 | AC lost | Asserted
  c0 | 08/29/2026 | 09:50:08 AM UTC | System Boot Initiated #0xd5 | Initiated by power up | Asserted
  c1 | 08/29/2026 | 09:50:18 AM UTC | Fan #0x0f | Device Present | Asserted
  c2 | 08/29/2026 | 09:50:18 AM UTC | Fan #0x10 | Device Present | Asserted
  c3 | 08/29/2026 | 09:50:18 AM UTC | Fan #0x11 | Device Present | Asserted
  c4 | 08/29/2026 | 09:50:18 AM UTC | Fan #0x12 | Device Present | Asserted
  c5 | 08/29/2026 | 09:50:18 AM UTC | Fan #0x13 | Device Present | Asserted
  c6 | 08/29/2026 | 09:50:18 AM UTC | Fan #0x14 | Device Present | Asserted
  c7 | 08/29/2026 | 09:50:18 AM UTC | Fan #0x15 | Device Present | Asserted
  c8 | 08/29/2026 | 09:50:18 AM UTC | Fan #0x16 | Device Present | Asserted
  c9 | 08/29/2026 | 09:50:36 AM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
