# PROVISIONAL revealed delta (combined peel+arm vs arm-only pin) — NOT a freeze pin
# baseline_census_sha	89dbea7d896b3ae95195117374a8c0c9454f341e
# scratch_sha	d8a5a37c283b0677ce05310ca23e6d2c8bd109f6
# recipe	df4c428366e + cherry-pick b7dfcef3465
# provisional_identity_unique	2155
# raw_SITE_lines	2998
# dup_extra	843
# revealed_delta_unique	229
# retired_delta	0
# classification	228 incidental BY SUBSET RULE; 1 incidental via exec; 0 deliberate; 0 unclassified
type	file	start	end
Nano	dag/gunbc/fleet_intent.dag	5805	5809
extdeps.access.posix.FileMode	dag/extdeps/access/posix.dag	537	545
extdeps.access.posix.FileOwnership	dag/extdeps/access/posix.dag	515	528
extdeps.access.rbac.Permission	dag/extdeps/access/rbac.dag	386	396
extdeps.access.rbac.PermissionAssignment	dag/extdeps/access/rbac.dag	706	726
extdeps.access.rbac.UserAssignment	dag/extdeps/access/rbac.dag	659	673
extdeps.bmc.os_install_actuator_toolchain.ActuatorToolchainRequirement	dag/extdeps/bmc/os_install_actuator_toolchain.dag	721	749
extdeps.bmc.types.BmcGroundedHostObservations	dag/extdeps/bmc.dag	723	750
extdeps.bmc.types.BmcGroundedHostObservations	dag/extdeps/bmc/redfish.dag	3495	3522
extdeps.bmc.types.RedfishMemorySummary	dag/extdeps/bmc/types.dag	2027	2047
extdeps.bmc.types.RedfishProcessorSummary	dag/extdeps/bmc/types.dag	1993	2016
extdeps.bmc.types.RedfishSystemInventory	dag/extdeps/bmc/types.dag	14716	14738
extdeps.bmc.webui.nbd_proxy_serve.NbdProxyServeTransportIntent	dag/gunbc/host_effect.dag	1732	1760
extdeps.bmc.webui.nbd_proxy_serve.NbdProxyServeTransportIntent	dag/gunbc/srv3_nbd_proxy_serve_intent.dag	1178	1206
extdeps.boards.types.BaseboardCatalogRow	dag/extdeps/boards/types.dag	666	685
extdeps.cache.sccache.SccacheBinaryRelease	dag/extdeps/cache/sccache.dag	4501	4521
extdeps.cache.types.CacheInterfaceCatalogFacts	dag/extdeps/cache/sccache.dag	19494	19520
extdeps.cache.types.CacheInterfaceCatalogFacts	dag/extdeps/realization/hermetic_fixture.dag	1034	1060
extdeps.cache.types.CacheInterfaceCatalogFacts	dag/extdeps/realization/hermetic_fixture.dag	2437	2463
extdeps.cache.types.CacheInterfaceCatalogFacts	dag/extdeps/realization/reconcile_in_process.dag	2211	2237
extdeps.cache.types.CacheInterfaceCatalogFacts	dag/extdeps/realization/reconcile_in_process.dag	955	981
extdeps.cache.types.CacheInterfaceCatalogFacts	dag/extdeps/realization/resolved_graph.dag	1738	1764
extdeps.cache.types.CatalogBackendCacheKey	dag/extdeps/cache.dag	4042	4064
extdeps.cache.types.CatalogKeyDerivationFacts	dag/extdeps/cache/types.dag	3097	3122
extdeps.cloud.gcp.errors.GcpErrorDetails	dag/extdeps/cloud/gcp/errors.dag	4353	4368
extdeps.cloud.gcp.errors.GcpErrorShape	dag/extdeps/cloud/gcp/errors.dag	4492	4505
extdeps.cloud.gcp.iam.GcpBinding	dag/gunbc/assimilate/bmc_bootstrap_provision.dag	338	348
extdeps.cloud.gcp.iam.GcpBinding	dag/gunbc/assimilate/bmc_wif_delegation_chain.dag	3481	3491
extdeps.cloud.hetzner.HetznerCloudServerCatalogRow	dag/extdeps/cloud/hetzner.dag	1182	1210
extdeps.cloud.ubicloud.UbicloudRunnerCatalogRow	dag/extdeps/cloud/ubicloud.dag	5020	5044
extdeps.cpu.types.CacheGeometryCitation	dag/extdeps/cpu/types.dag	1208	1229
extdeps.cpu.types.CacheGeometryCitation	dag/extdeps/cpu/types.dag	1370	1391
extdeps.cpu.types.CpuDeploymentFacts	dag/extdeps/cpu/types.dag	1518	1536
extdeps.cpu.types.CpuL3CacheGeometry	dag/extdeps/cpu/types.dag	1324	1342
extdeps.cpu.types.CpuModelCatalogRow	dag/extdeps/cpu/ampere.dag	3829	3847
extdeps.cpu.types.CpuModelCatalogRow	dag/extdeps/cpu/types.dag	1485	1503
extdeps.dns.domain_name.HostName	dag/extdeps/dns/domain_name.dag	3654	3662
extdeps.docker.container_inspect.ContainerStateDetail	dag/extdeps/docker/container_inspect.dag	4536	4556
extdeps.external_authority.ExternalAuthority	dag/extdeps/bmc/os_install_actuator_toolchain.dag	91	108
extdeps.formats.elf.segments.Elf64Phdr	dag/extdeps/formats/elf/segments.dag	1145	1154
extdeps.formats.elf.types.Elf64Ehdr	dag/extdeps/formats/elf/types.dag	6254	6263
extdeps.formats.elf.types.ElfIdent	dag/extdeps/formats/elf/types.dag	406	414
extdeps.git.versioning.GitReleaseVersion	dag/extdeps/git/versioning.dag	841	858
extdeps.github.actions.Job	dag/extdeps/github/actions.dag	2514	2517
extdeps.github.actions.Job	dag/gunbc/assimilate/bmc_token_federation.dag	6293	6296
extdeps.github.actions.Workflow	dag/gunbc/assimilate/bmc_token_federation.dag	6719	6727
extdeps.github.actions.Workflow	dag/gunbc/ci_workflow.dag	52236	52244
extdeps.github.errors.GitHubErrorShape	dag/extdeps/github/errors.dag	428	444
extdeps.github.expressions.ExpressionSpellings	dag/extdeps/github/expressions.dag	2060	2079
extdeps.github.hosted_runners.GithubHostedRunnerCatalogRow	dag/extdeps/github/hosted_runners.dag	3344	3372
extdeps.github.hosted_runners.GithubHostedRunnerCatalogRow	dag/extdeps/github/hosted_runners.dag	3663	3691
