# generated projection of the wet-lane receipt envelope (latest-attempt.json). Edit neither file by hand: the required floor re-projects and refuses on any drift.
# schema_version=2 subject_digest=b6aee692e0fb274d3ca76a8089a6fda05b2d86ea8c46dd2a4bbd6c14c070b493 executor_contract_digest=b6a2c43b221f78196425310dad8b0ff410e2d9f1f33727abe13beca6d11d9188 attempt_seq=1 executed_at_unix_secs=1788432786 published_at_unix_secs=1788441447 run_id=33745596102 head_sha=7ef0e5db32401bb75aa107f70b23b39f2543b550
# identity	outcome	wall_ms	observed_entry_rel	observed_function
test.claim.self_host_00_compile_behavioral_witness.self_host_00_compile_behavioral_receipt_holds	assertion-false	657785	dag/test/claim/self_host_00_compile_behavioral_witness_test.dag	test.claim.self_host_00_compile_behavioral_witness.self_host_00_compile_behavioral_receipt_holds
test.claim.self_host_01_tokenize_behavioral_witness.self_host_01_tokenize_behavioral_receipt_holds	assertion-false	400579	dag/test/claim/self_host_01_tokenize_behavioral_witness_test.dag	test.claim.self_host_01_tokenize_behavioral_witness.self_host_01_tokenize_behavioral_receipt_holds
test.claim.self_host_02_parse_behavioral_witness.self_host_02_parse_behavioral_receipt_holds	assertion-false	486237	dag/test/claim/self_host_02_parse_behavioral_witness_test.dag	test.claim.self_host_02_parse_behavioral_witness.self_host_02_parse_behavioral_receipt_holds
test.claim.self_host_03_ingest_behavioral_witness.self_host_03_ingest_behavioral_receipt_holds	assertion-false	707036	dag/test/claim/self_host_03_ingest_behavioral_witness_test.dag	test.claim.self_host_03_ingest_behavioral_witness.self_host_03_ingest_behavioral_receipt_holds
test.claim.self_host_03_normalize_behavioral_witness.self_host_03_normalize_behavioral_receipt_holds	assertion-false	423348	dag/test/claim/self_host_03_normalize_behavioral_witness_test.dag	test.claim.self_host_03_normalize_behavioral_witness.self_host_03_normalize_behavioral_receipt_holds
test.claim.self_host_03_resolve_behavioral_witness.self_host_03_resolve_behavioral_receipt_holds	assertion-false	439636	dag/test/claim/self_host_03_resolve_behavioral_witness_test.dag	test.claim.self_host_03_resolve_behavioral_witness.self_host_03_resolve_behavioral_receipt_holds
test.claim.self_host_04_infer_behavioral_witness.self_host_04_infer_behavioral_receipt_holds	assertion-false	567946	dag/test/claim/self_host_04_infer_behavioral_witness_test.dag	test.claim.self_host_04_infer_behavioral_witness.self_host_04_infer_behavioral_receipt_holds
test.claim.self_host_artifact_materialization_real_execution_witness.a_real_cargo_build_materializes_through_the_real_digest	pass	273	dag/test/claim/self_host_artifact_materialization_real_execution_witness_test.dag	test.claim.self_host_artifact_materialization_real_execution_witness.a_real_cargo_build_materializes_through_the_real_digest
test.claim.self_host_artifact_materialization_real_execution_witness.a_target_the_build_never_produced_refuses_and_does_not_materialize	pass	274	dag/test/claim/self_host_artifact_materialization_real_execution_witness_test.dag	test.claim.self_host_artifact_materialization_real_execution_witness.a_target_the_build_never_produced_refuses_and_does_not_materialize
test.claim.self_host_artifact_materialization_real_execution_witness.changing_only_the_source_bytes_names_exactly_the_artifact_axis	pass	493	dag/test/claim/self_host_artifact_materialization_real_execution_witness_test.dag	test.claim.self_host_artifact_materialization_real_execution_witness.changing_only_the_source_bytes_names_exactly_the_artifact_axis
test.claim.self_host_artifact_materialization_real_execution_witness.rebuilding_identical_source_in_place_moves_no_axis	pass	487	dag/test/claim/self_host_artifact_materialization_real_execution_witness_test.dag	test.claim.self_host_artifact_materialization_real_execution_witness.rebuilding_identical_source_in_place_moves_no_axis
