entry	function	eval_ms_basis	run_ref	host_class	clock
# Basis rows cite arm64 srv-fleet run receipts only (witness_row_cost_basis_host_class_note).
# The clock column names WHICH clock eval_ms_basis was read from, so a comparison against an
# observation on a different clock refuses (BasisClockMismatch) instead of answering. Every row
# below carries wall because every one was seeded from a receipt that recorded no other clock:
# before the 2026-08-05 clock-basis ruling the seed's PerformanceReceipt held only wall_nanos,
# so wall is what these figures ARE, not a default chosen for them.
# First fleet observation establishes a row here; absence at compare time is BasisAbsent.
# Seeded from falsifier run 30550328673 (host_class=srv_fleet_arm64, runner_spec_is_self_hosted_arm64),
# whose sole failure was the silent-pick row's wall-budget refusal; every row below completed.
# resolution_divergence_silent_pick_gate_keystone_holds is DELIBERATELY ABSENT: it was killed at
# its 900000ms deadline, so its recorded 900794ms is a CENSORED measurement, not a completed one.
# Seeding it would pin the corpus's most expensive row WithinBasis below ~1.8M ms under the 2x
# comparator and enshrine a deadline ceiling as normal cost. It stays BasisAbsent - the honest
# third state - until ClaimOutcome::TimedOut distinguishes killed rows from completed ones.
# Rows observed in two batches keep the max of the two (all 3 such pairs differ by <2%).
dag/test/claim/accelerator_demo_execution_witness_test.dag	accelerator_demo_execution_lane_witnesses	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/annotation_carrier_witness_test.dag	census_closure_frontier_rows_count_is_twenty_one	4	30550328673	srv_fleet_arm64	wall
dag/test/claim/anomaly_evidence_witness_test.dag	anomaly_reason_is_a_surface	40	30550328673	srv_fleet_arm64	wall
dag/test/claim/anomaly_evidence_witness_test.dag	anomaly_reason_surface_is_styled	85	30550328673	srv_fleet_arm64	wall
dag/test/claim/asrock_live_probe_witness_test.dag	live_probe_redfish_virtual_media_absent_matches_catalog	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_live_receipts_witness_test.dag	proc_mounts_parser_decodes_kernel_mount_escapes	4	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_live_receipts_witness_test.dag	proc_mounts_parser_derives_literal_overlay_paths	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_live_receipts_witness_test.dag	proc_mounts_parser_refuses_multi_lower_overlay	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_live_receipts_witness_test.dag	proc_mounts_parser_refuses_relative_overlay_paths	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_netboot_serve_witness_test.dag	serve_command_one_shape_two_transports	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_netboot_serve_witness_test.dag	srv4_bmc_served_seed_carries_fleet_keys	3	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_netboot_serve_witness_test.dag	srv4_staging_manifest_stages_rendered_grub_and_seed	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_netboot_shell_boot_witness_test.dag	srv4_shell_boot_sequence_direct_kernel	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_onboarding_lifecycle_witness_test.dag	bmc_plan_steady_state_is_keyless_wif	31	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_token_federation_witness_test.dag	bmc_smoke_workflow_carries_no_pasted_key	29	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_virtual_media_witness_test.dag	srv4_gadget_is_readonly_cdrom_on_nbd0	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_wif_delegation_chain_witness_test.dag	bmc_smoke_workflow_scopes_id_token_write_to_its_single_designated_job	25	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_wif_delegation_chain_witness_test.dag	bootstrap_grants_zero_bindings_for_bmc_secret	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/bmc_wif_delegation_chain_witness_test.dag	main_ci_workflow_grants_no_id_token	678	30550328673	srv_fleet_arm64	wall
dag/test/claim/cache_key_completeness_test.dag	witness_live_catalog_holds	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/cache_layer_planner_test.dag	witness_cheap_recompute_skips_wan_layers	2	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_budget_tree_witness_test.dag	witness_live_is_fail_closed	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_budget_tree_witness_test.dag	witness_live_trees_conserve	1	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_concurrency_policy_witness_test.dag	ci_concurrency_event_scoped_stop_policy_holds	700	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_deploy_target_host_witness_test.dag	witness_ci_yml_deploy_job_pins_srv1_runner	740	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_deploy_witness_test.dag	witness_ci_spec_carries_deploy_stages	4	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_deploy_witness_test.dag	witness_ci_yml_deploy_job_consumes_release_bins_artifact	745	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_heal_job_witness_test.dag	contents_write_is_scoped_to_heal_only	678	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_materialization_witness_test.dag	ci_catalog_projection_has_no_refusals	55	30550328673	srv_fleet_arm64	wall
dag/test/claim/ci_materialization_witness_test.dag	ci_ladder_holds_on_live_workflow	627	30550328673	srv_fleet_arm64	wall
