index,x_mm,y_mm,pad_dia_mm
1,-29.7329,37.7352,0.46
2,-28.7371,37.7352,0.46
3,-27.7412,37.7352,0.46
4,-26.7454,37.7352,0.46
5,-25.7495,37.7352,0.46
6,-24.7181,37.7352,0.46
7,-23.7579,37.7352,0.46
8,-22.7265,37.7352,0.46
9,-21.7306,37.7352,0.46
10,-20.7348,37.7352,0.46
11,-19.7389,37.7352,0.46
12,-18.7431,37.7352,0.46
13,-17.7473,37.7352,0.46
14,-16.7159,37.7352,0.46
15,-15.7200,37.7352,0.46
16,-14.7598,37.7352,0.46
17,-13.7283,37.7352,0.46
18,-12.7325,37.7352,0.46
19,-11.7367,37.7352,0.46
20,-10.7408,37.7352,0.46
21,-9.7450,37.7352,0.46
22,-8.7136,37.7352,0.46
23,-7.7533,37.7352,0.46
24,-6.7219,37.7352,0.46
25,-5.7261,37.7352,0.46
26,-4.7302,37.7352,0.46
27,-3.7344,37.7352,0.46
28,-2.7386,37.7352,0.46
29,-1.7427,37.7352,0.46
30,-0.7469,37.7352,0.46
31,0.2845,37.7352,0.46
32,1.2448,37.7352,0.46
33,2.2762,37.7352,0.46
34,3.2720,37.7352,0.46
35,4.2679,37.7352,0.46
36,5.2637,37.7352,0.46
37,6.2596,37.7352,0.46
38,7.2910,37.7352,0.46
39,8.2512,37.7352,0.46
40,9.2471,37.7352,0.46
41,10.2785,37.7352,0.46
42,11.2743,37.7352,0.46
43,12.2702,37.7352,0.46
44,13.2660,37.7352,0.46
45,14.2618,37.7352,0.46
46,15.2577,37.7352,0.46
47,16.2535,37.7352,0.46
48,17.2494,37.7352,0.46
49,18.2808,37.7352,0.46
50,19.2766,37.7352,0.46
51,20.2369,37.7352,0.46
52,21.2683,37.7352,0.46
53,22.2641,37.7352,0.46
54,23.2599,37.7352,0.46
55,24.2558,37.7352,0.46
56,25.2516,37.7352,0.46
57,26.2830,37.7352,0.46
58,27.2789,37.7352,0.46
59,28.2747,37.7352,0.46
60,29.2705,37.7352,0.46
61,-30.2308,36.8460,0.46
62,-29.2350,36.8460,0.46
63,-28.2391,36.8460,0.46
64,-27.2433,36.8460,0.46
65,-26.2119,36.8460,0.46
66,-25.2516,36.8460,0.46
67,-24.2558,36.8460,0.46
68,-23.2244,36.8460,0.46
