imports_removed	file
32	compiler/00_compile.dag
10	compiler/01_tokenize.dag
22	compiler/02_parse.dag
3	compiler/03_body_producer.dag
15	compiler/03_ingest.dag
22	compiler/03_name_resolve.dag
10	compiler/03_normalize.dag
15	compiler/03_resolve.dag
13	compiler/04_infer.dag
5	compiler/05_emit.dag
19	compiler/05_emit_orchestration.dag
16	compiler/05_eval.dag
21	compiler/06_translate.dag
8	compiler/07_target_carriers.dag
17	compiler/body_lowering_fold.dag
7	compiler/build_transport_admission.dag
2	compiler/build_workspace_grant.dag
2	compiler/discovery_enumeration.dag
31	compiler/emit_host.dag
10	compiler/emit_module.dag
12	compiler/emit_produced.dag
9	compiler/emit_semantic_decl.dag
6	compiler/fold_lowering.dag
3	compiler/host_run_boundary_admission.dag
9	compiler/ingested_fixture_arrows.dag
2	compiler/manual/retry_eagain_bash.dag
13	compiler/materialization_carriers.dag
9	compiler/namespace_graft.dag
4	compiler/native_selected_bundle_process.dag
1	compiler/normalized_tree.dag
6	compiler/parse_diagnostic.dag
1	compiler/parse_engine_hooks.dag
1	compiler/program_assembly.dag
15	compiler/program_partition.dag
10	compiler/self_host.dag
15	compiler/self_host/candidate_generation.dag
1	compiler/self_host/closure_witness_layer_roots.dag
15	compiler/self_host/compiler_closure_emit.dag
16	compiler/self_host/direct_rust_door_fixture.dag
1	compiler/self_host/direct_rust_door_ingest_fixture.dag
5	compiler/self_host/direct_rust_door_observation.dag
7	compiler/self_host/emit_coverage_frontier.dag
10	compiler/self_host/emitter_producer_provenance.dag
12	compiler/self_host/fixture_synthetic_emission.dag
16	compiler/self_host/frontier.dag
5	compiler/self_host/frontier_band_a_emit_readiness.dag
19	compiler/self_host/frontier_probe.dag
9	compiler/self_host/frontier_probe_assemble_detail.dag
11	compiler/self_host/frontier_probe_survey.dag
15	compiler/self_host/frontier_probe_types.dag
6	compiler/self_host/native_agreement_support.dag
7	compiler/self_host/native_routing_frontier.dag
3	compiler/self_host/parity_receipts_local.dag
3	compiler/self_host/parity_window.dag
6	compiler/self_host/seed_emitter_behavioral_wet_known_red_entries.dag
4	compiler/self_host/seed_emitter_behavioral_wet_module_bindings.dag
15	compiler/self_host/v2_emitter_direct_rust_door_contract.dag
9	compiler/self_host/wet_receipt_enrollment.dag
5	compiler/self_host/witness_bulk_routing.dag
3	compiler/self_host/witness_entry_eligibility_census.dag
32	compiler/source_authority.dag
13	compiler/symbol_index_fill.dag
7	compiler/trait_derive_completeness.dag
3	compiler/use_site_verdict.dag
6	compiler/wrap_decision.dag
3	examples/html_markup_smoke/html_markup_smoke.dag
4	extdeps/access/posix_effective_principal.dag
4	extdeps/access/posix_effective_principal_read_op.dag
4	extdeps/accessibility/wcag_contrast.dag
4	extdeps/accounting/budget.dag
7	extdeps/advertising/google_ads.dag
7	extdeps/advertising/meta_ads.dag
3	extdeps/advertising/types.dag
2	extdeps/assurance/claim_evidence.dag
3	extdeps/astronomy/stellar_classification.dag
4	extdeps/auth/jwt.dag
4	extdeps/auth/oidc.dag
4	extdeps/automation/playwright.dag
3	extdeps/bmc/capability.dag
6	extdeps/bmc/lifecycle_fidelity.dag
1	extdeps/bmc/mock_corpus.dag
12	extdeps/bmc/openbmc_fan_control.dag
4	extdeps/bmc/openbmc_operation.dag
4	extdeps/bmc/openbmc_password_ssh_transport.dag
6	extdeps/bmc/types.dag
4	extdeps/bmc/virtual_media.dag
6	extdeps/boards/asrock_rack.dag
6	extdeps/boards/types.dag
4	extdeps/bootloader/grub.dag
4	extdeps/browser/chromium.dag
4	extdeps/browser/google_chrome.dag
16	extdeps/cache.dag
5	extdeps/cache/buildbuddy.dag
5	extdeps/cache/cargo.dag
3	extdeps/cache/catalog_io.dag
3	extdeps/cache/catalog_placement.dag
5	extdeps/cache/github_actions.dag
5	extdeps/cache/key_completeness.dag
4	extdeps/cache/key_completeness_verdict.dag
8	extdeps/cache/materialization.dag
7	extdeps/cache/pin.dag
5	extdeps/cache/rustup.dag
9	extdeps/cache/sccache.dag
9	extdeps/cache/types.dag
7	extdeps/chassis/rosewill.dag
7	extdeps/chassis/types.dag
1	extdeps/clock/clock.dag
1	extdeps/cloud/gcp/auth_print_access_token.dag
3	extdeps/cloud/gcp/secret_manager.dag
5	extdeps/cloud/gcp/secret_ref.dag
2	extdeps/cloud/hetzner.dag
3	extdeps/cloud_init/cloud_init.dag
10	extdeps/coercion_widening.dag
4	extdeps/color/okabe_ito.dag
4	extdeps/color/solarized.dag
6	extdeps/color/srgb.dag
3	extdeps/container/docker_ce.dag
13	extdeps/container/oci/ctrl_session_witness.dag
1	extdeps/container/oci/descriptor.dag
5	extdeps/container/oci/digest.dag
1	extdeps/container/oci/image_config.dag
5	extdeps/container/oci/types.dag
8	extdeps/cooling/dynatron.dag
8	extdeps/cooling/types.dag
4	extdeps/coordination.dag
4	extdeps/coordination_claims_test.dag
3	extdeps/coverage.dag
7	extdeps/cpu/ampere.dag
7	extdeps/crm/hubspot_lifecycle.dag
8	extdeps/crm/salesforce_opportunity.dag
4	extdeps/cron/schedule_model.dag
4	extdeps/crypto/hash.dag
4	extdeps/currency/currency.dag
5	extdeps/darwin/rusage.dag
5	extdeps/darwin/sysctl.dag
9	extdeps/dhcp/v4.dag
4	extdeps/diagnostic_mock_corpus.dag
4	extdeps/dns/domain_name.dag
9	extdeps/docker/container_inspect.dag
4	extdeps/docker/container_inspect_contracts.dag
8	extdeps/docker/container_stats.dag
4	extdeps/docker/docker.dag
5	extdeps/docker/endpoint.dag
4	extdeps/ebay/ebay.dag
4	extdeps/ebay/ebay_contracts.dag
3	extdeps/ebay/errors.dag
8	extdeps/ebay/inventory.dag
1	extdeps/ebay/mock_corpus.dag
4	extdeps/ebay/oauth.dag
3	extdeps/exec/command.dag
6	extdeps/exec/exec_arg_limit.dag
3	extdeps/exec/xargs.dag
4	extdeps/external_authority.dag
3	extdeps/file_system.dag
4	extdeps/filesystem/linux.dag
3	extdeps/firmware/kernel_cmdline.dag
3	extdeps/firmware/uefi_http_boot.dag
4	extdeps/firmware/uefi_shell.dag
2	extdeps/formats/csv.dag
4	extdeps/formats/dnsmasq.dag
1	extdeps/formats/json.dag
4	extdeps/formats/json_schema.dag
7	extdeps/formats/openapi.dag
9	extdeps/formats/spice.dag
3	extdeps/formats/spice_passive_projection.dag
6	extdeps/formats/spice_passive_projection_test.dag
11	extdeps/formats/sql.dag
14	extdeps/formats/sql_create_table_fold.dag
10	extdeps/formats/sql_target.dag
2	extdeps/formats/toml.dag
1	extdeps/formats/yaml.dag
4	extdeps/formatters/black.dag
3	extdeps/formatters/clang_format.dag
1	extdeps/formatters/gofmt.dag
1	extdeps/formatters/google_java_format.dag
4	extdeps/formatters/ktfmt.dag
4	extdeps/formatters/lean4_format.dag
4	extdeps/formatters/prettier.dag
4	extdeps/formatters/rustfmt.dag
4	extdeps/formatters/swift_format.dag
3	extdeps/git/hooks.dag
3	extdeps/git/inspect.dag
1	extdeps/git/mock_corpus.dag
13	extdeps/git/object_store.dag
4	extdeps/git/publication_transport.dag
7	extdeps/git/versioning.dag
6	extdeps/github/actions.dag
4	extdeps/github/actions_environment.dag
7	extdeps/github/actions_runner.dag
6	extdeps/github/actions_token.dag
6	extdeps/github/app.dag
7	extdeps/github/auth.dag
8	extdeps/github/checks.dag
3	extdeps/github/checks_contracts.dag
3	extdeps/github/ci.dag
5	extdeps/github/ci_runner.dag
4	extdeps/github/diagnostic_emit.dag
6	extdeps/github/effect.dag
2	extdeps/github/errors.dag
6	extdeps/github/expression_fidelity.dag
3	extdeps/github/expressions.dag
5	extdeps/github/gha_fold_pilot_emit.dag
5	extdeps/github/gists.dag
3	extdeps/github/github.dag
3	extdeps/github/github_contracts.dag
5	extdeps/github/hosted_runners.dag
6	extdeps/github/issues.dag
2	extdeps/github/log_annotations.dag
5	extdeps/github/merge_state.dag
3	extdeps/github/merge_state_contracts.dag
3	extdeps/github/mergeable_state.dag
3	extdeps/github/mergeable_state_contracts.dag
1	extdeps/github/mock_corpus.dag
10	extdeps/github/pulls.dag
4	extdeps/github/pulls_contracts.dag
10	extdeps/github/push_event.dag
9	extdeps/github/workflow_run_event.dag
9	extdeps/github/workflow_runs.dag
3	extdeps/github/workflow_runs_contracts.dag
6	extdeps/github/workflows.dag
6	extdeps/gpu/apple.dag
4	extdeps/gpu/machine_shape.dag
8	extdeps/gpu/nvidia.dag
11	extdeps/gpu/types.dag
3	extdeps/gunbc/gunbc.dag
2	extdeps/hardware.dag
5	extdeps/http/client.dag
5	extdeps/http/server.dag
7	extdeps/instrument/pip_boy_3000.dag
7	extdeps/instrument/pip_boy_3000_mk_v.dag
6	extdeps/jobserver.dag
9	extdeps/language_model/rust.dag
11	extdeps/languages/bash.dag
4	extdeps/languages/bash/subject.dag
3	extdeps/languages/bash_build.dag
12	extdeps/languages/bash_command_fold.dag
13	extdeps/languages/bash_orch_if.dag
6	extdeps/languages/bash_orch_tier2.dag
14	extdeps/languages/bash_orchestration_emit.dag
5	extdeps/languages/bash_proc_self_cgroup.dag
16	extdeps/languages/c.dag
3	extdeps/languages/c/emit.dag
4	extdeps/languages/c/subject.dag
6	extdeps/languages/c_decl.dag
14	extdeps/languages/cpp.dag
4	extdeps/languages/cpp/subject.dag
3	extdeps/languages/css/properties.dag
3	extdeps/languages/css/selectors.dag
4	extdeps/languages/css/subject.dag
3	extdeps/languages/css/values.dag
21	extdeps/languages/dag.dag
2	extdeps/languages/dag/emit.dag
3	extdeps/languages/dag/syntax.dag
3	extdeps/languages/dag/types.dag
15	extdeps/languages/ecmascript.dag
4	extdeps/languages/ecmascript/subject.dag
13	extdeps/languages/english.dag
14	extdeps/languages/gha_workflow_yaml_fold.dag
15	extdeps/languages/go.dag
3	extdeps/languages/go/emit.dag
5	extdeps/languages/go/module.dag
2	extdeps/languages/go/primitives.dag
4	extdeps/languages/go/subject.dag
3	extdeps/languages/go/syntax.dag
3	extdeps/languages/go/types.dag
8	extdeps/languages/gpu/wgsl/kernel.dag
6	extdeps/languages/html.dag
4	extdeps/languages/html/subject.dag
4	extdeps/languages/html_fragment.dag
14	extdeps/languages/java.dag
4	extdeps/languages/java/subject.dag
4	extdeps/languages/json/emit.dag
3	extdeps/languages/json/grammar.dag
5	extdeps/languages/json/parse.dag
4	extdeps/languages/json/subject.dag
4	extdeps/languages/jsx/subject.dag
14	extdeps/languages/kotlin.dag
4	extdeps/languages/kotlin/subject.dag
13	extdeps/languages/lean.dag
3	extdeps/languages/lean/overflow.dag
4	extdeps/languages/lean/subject.dag
10	extdeps/languages/llvm_ir.dag
4	extdeps/languages/llvm_ir/subject.dag
9	extdeps/languages/machine_code.dag
11	extdeps/languages/markdown.dag
4	extdeps/languages/markdown/subject.dag
5	extdeps/languages/ptx.dag
4	extdeps/languages/ptx/subject.dag
17	extdeps/languages/python.dag
3	extdeps/languages/python/emit.dag
2	extdeps/languages/python/primitives.dag
4	extdeps/languages/python/subject.dag
3	extdeps/languages/python/syntax.dag
3	extdeps/languages/python/types.dag
7	extdeps/languages/react_jsx.dag
4	extdeps/languages/riscv/subject.dag
24	extdeps/languages/rust.dag
4	extdeps/languages/rust/derive_contracts.dag
4	extdeps/languages/rust/emit.dag
4	extdeps/languages/rust/primitives.dag
4	extdeps/languages/rust/subject.dag
3	extdeps/languages/rust/syntax.dag
3	extdeps/languages/rust/types.dag
2	extdeps/languages/rust_test_fixtures.dag
8	extdeps/languages/simd/kernel.dag
4	extdeps/languages/spice/subject.dag
14	extdeps/languages/swift.dag
4	extdeps/languages/swift/subject.dag
20	extdeps/languages/typescript.dag
3	extdeps/languages/typescript/emit.dag
2	extdeps/languages/typescript/primitives.dag
2	extdeps/languages/typescript/program.dag
4	extdeps/languages/typescript/subject.dag
3	extdeps/languages/typescript/syntax.dag
3	extdeps/languages/typescript/types.dag
5	extdeps/languages/verilog.dag
4	extdeps/languages/verilog/subject.dag
14	extdeps/languages/wasm.dag
4	extdeps/languages/wasm/subject.dag
4	extdeps/languages/yaml/emit.dag
5	extdeps/languages/yaml/gha_workflow.dag
3	extdeps/languages/yaml/ingest.dag
4	extdeps/languages/yaml/subject.dag
2	extdeps/languages/yaml/types.dag
1	extdeps/linux/mock_corpus.dag
5	extdeps/linux/proc_meminfo.dag
5	extdeps/linux/proc_self_cgroup.dag
5	extdeps/linux/procfs.dag
5	extdeps/linux/rusage.dag
3	extdeps/linux/usb_gadget.dag
7	extdeps/llm/anthropic.dag
5	extdeps/llm/anthropic_contracts.dag
3	extdeps/llm/anthropic_errors.dag
5	extdeps/llm/anthropic_rest.dag
7	extdeps/llm/claude_agent_sdk_stream.dag
4	extdeps/llm/claude_sdk.dag
7	extdeps/llm/claude_setup_token_cli.dag
5	extdeps/llm/cli.dag
4	extdeps/llm/cli_lifecycle.dag
5	extdeps/llm/codex_app_server.dag
8	extdeps/llm/codex_auth.dag
3	extdeps/llm/cursor_cli.dag
6	extdeps/llm/cursor_sdk.dag
4	extdeps/llm/cursor_sdk_errors.dag
5	extdeps/llm/cursor_sdk_facts.dag
7	extdeps/llm/cursor_stream.dag
2	extdeps/llm/llm.dag
3	extdeps/llm/llm_contracts.dag
1	extdeps/llm/mock_corpus.dag
4	extdeps/llm/openai.dag
5	extdeps/llm/openai_contracts.dag
3	extdeps/llm/openai_errors.dag
4	extdeps/llm/openai_rest.dag
5	extdeps/memory.dag
4	extdeps/memory/jedec.dag
5	extdeps/memory/sk_hynix.dag
6	extdeps/memory/types.dag
6	extdeps/mercurial.dag
3	extdeps/netplan/netplan.dag
5	extdeps/network/address.dag
6	extdeps/network/endpoint.dag
3	extdeps/network/ipv4.dag
5	extdeps/network/ipv6.dag
4	extdeps/network/reach.dag
7	extdeps/network/switch_types.dag
7	extdeps/network/tp_link.dag
13	extdeps/npm.dag
3	extdeps/numeric/base16.dag
5	extdeps/object_storage/content_addressed.dag
5	extdeps/object_storage/object_storage.dag
2	extdeps/observability.dag
8	extdeps/os.dag
3	extdeps/os/debian.dag
3	extdeps/os/macos.dag
3	extdeps/os/ubuntu.dag
5	extdeps/os/ubuntu_autoinstall.dag
3	extdeps/os/windows.dag
4	extdeps/package.dag
3	extdeps/package_managers/apt.dag
3	extdeps/package_managers/brew.dag
3	extdeps/package_managers/dpkg.dag
5	extdeps/physics/bach_et_al_2013_double_slit.dag
4	extdeps/physics/chapman_et_al_1995_atom_interferometer_which_path.dag
5	extdeps/pijul.dag
6	extdeps/pin.dag
7	extdeps/posix.dag
5	extdeps/posix/rusage.dag
4	extdeps/posix/shell_command_language.dag
7	extdeps/power/eaton_tripp_lite.dag
7	extdeps/power/types.dag
6	extdeps/pricing/aws_ec2.dag
3	extdeps/pricing/billing_units.dag
6	extdeps/pricing/github_actions.dag
8	extdeps/pricing/gitlab_subscription.dag
10	extdeps/pricing/hetzner_dedicated.dag
7	extdeps/pricing/object_storage.dag
6	extdeps/pricing/regional_compute.dag
6	extdeps/pricing/ubicloud.dag
4	extdeps/probes/provider_interface_acquisition.dag
3	extdeps/process/gnu_bash_exit.dag
3	extdeps/process/posix_exit.dag
2	extdeps/project_schedule/cpm_pert.dag
5	extdeps/provisioning/dhcp_client_arch.dag
4	extdeps/provisioning/network_boot.dag
4	extdeps/provisioning/ubuntu_install_media.dag
9	extdeps/provisioning/ubuntu_install_media_fetch.dag
7	extdeps/provisioning/ubuntu_seeded_install_media.dag
12	extdeps/provisioning/ubuntu_seeded_install_media_remaster.dag
5	extdeps/provisioning/ubuntu_seeded_install_media_toolchain.dag
3	extdeps/python/python.dag
7	extdeps/rack/navepoint.dag
7	extdeps/rack/types.dag
6	extdeps/react/structural_receipts_test.dag
11	extdeps/realization/artifact_store_fs.dag
5	extdeps/realization/cache_purity.dag
5	extdeps/realization/compile_stage_memo.dag
7	extdeps/realization/emit_on_demand_host.dag
7	extdeps/realization/eval_memo.dag
5	extdeps/realization/frame_boundary_simulated.dag
6	extdeps/realization/hermetic_fixture.dag
5	extdeps/realization/native_artifact_cache.dag
7	extdeps/realization/parse_table_memo.dag
6	extdeps/realization/reconcile_in_process.dag
8	extdeps/realization/resolved_graph.dag
3	extdeps/realization/v1_handler.dag
3	extdeps/render/ansi.dag
2	extdeps/render/glyph.dag
5	extdeps/render/glyphs.dag
5	extdeps/render/surface.dag
9	extdeps/render/terminal.dag
4	extdeps/render/terminal_capability.dag
4	extdeps/render/tier_glyphs.dag
10	extdeps/router/verizon_cr1000a.dag
4	extdeps/runtime/abi/aapcs64.dag
9	extdeps/runtime/abi/sysv_amd64.dag
