source_log	subject	planned	module	function	max_ms
ci	109d8d966ce221be	10114	test.claim.altra_contact_map_witness	w_ingested_contact_map_admits_at_declared_population	459
ci	109d8d966ce221be	10114	test.claim.altra_contact_map_witness	w_classified_population_cross_foots_pin_summary	416
ci	109d8d966ce221be	10114	test.claim.altra_contact_map_witness	w_differential_pairs_are_complete_in_the_ingested_map	439
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_reason_is_a_surface	103
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_reason_empty_text_removes_the_line	105
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_dispatch_answer_reaches_the_surface	107
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_unreadable_answer_reaches_the_surface	110
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_unreadable_answer_does_not_name_the_network	109
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_workflow_segment_reaches_the_surface	107
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_workflow_segment_falls_closed_on_empty_detail	108
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_title_stays_a_convenience	104
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_reason_surface_is_styled	133
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_stage_accessible_name_keeps_label_and_state	109
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_workflow_refusal_reason_survives_concatenation	108
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_absent_reason_phrase_has_one_spelling	108
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_cleanup_refusal_reaches_the_surface	110
ci	109d8d966ce221be	10114	test.claim.anomaly_evidence_witness	anomaly_instance_label_keeps_both_halves	109
ci	109d8d966ce221be	10114	test.claim.cargo_artifact_selection_witness	the_real_build_script_build_collision_refuses_as_ambiguous	107
ci	109d8d966ce221be	10114	test.claim.codex_package_delivery_wet_witness_test	acquire_required_codex_tarball_sha512_matches_lock	384
