module	function	elapsed_ms	warn_ms	ceiling_ms
test.claim.extdeps_scope_placement_gate_loudness_witness	red_seed_runner_failure_detail_projects_located_receipt	71244	100	1552
test.claim.dissolution_census_witness_test	unbound_dissolution_empty_literal_refuses	39678	100	1552
test.claim.rust_test_fixtures_import_closure_witness	ambient_pool_provider_preserves_listed_import	29026	100	1552
test.claim.rust_test_fixtures_import_closure_witness	declared_import_closure_lists_rust_import	21364	100	1552
v2.test.manual.grounding_lens_whole_tree	grounding_lens_whole_tree_witnesses	20558	100	1552
test.claim.g2_data_reference_under_selection_witness_test	specimen_classifies_as_runtime_read	12197	100	1552
test.claim.root_d_checkpoint_scalar_declared_arity_witness	root_d_checkpoint_scalar_declared_arity_witness_holds	2792	100	1552
v2.test.claim.live_read_classification_test	g2_roster_gate_entry_classifies_literal_paths	2159	100	1552
v2.test.claim.effect_reach_test	effect_reach_path_data_init_derived_host_reading_holds	2122	100	1552
v2.test.claim.live_read_classification_test	g2_roster_gate_literal_path_touched_selects	2009	100	1552
v2.test.claim.live_read_classification_test	g2_implies_reads_live_tree_for_roster_gate	2002	100	1552
v2.test.claim.effect_reach_test	effect_reach_path_touch_selects_on_normalize_path_holds	1968	100	1552
v2.test.claim.effect_reach_test	effect_reach_concat_built_path_frontier_not_classified_holds	1966	100	1552
v2.test.claim.effect_reach_test	effect_reach_live_03_normalize_witness_derived_host_reading_holds	1966	100	1552
v2.test.claim.effect_reach_test	effect_reach_hermetic_fixture_stays_local_holds	1965	100	1552
v2.test.claim.effect_reach_test	effect_reach_unrelated_path_does_not_select_holds	1961	100	1552
v2.test.claim.effect_reach_test	effect_reach_prose_string_path_does_not_classify_holds	1958	100	1552
v2.test.claim.effect_reach_test	effect_reach_path_data_init_red_when_import_severed_holds	1954	100	1552
v2.test.claim.identity_captured_navigation.roster_gate	roster_dag_language_model_zero_suspects_within_ratchet	1569	100	1552
v2.test.claim.identity_captured_navigation.roster_gate	roster_parse_stage_zero_suspects_within_ratchet	1562	100	1552
test.claim.roadmap_page_witness	witness_authority_serializes_with_structure	1557	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_lambda_in_pipeline_parses	1556	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_pre_repair_grammar_restores_the_RED	1556	100	1552
test.claim.roadmap_page_witness	witness_authority_page_preserves_multi_parent_dependencies	1556	100	1552
test.claim.roadmap_page_witness	witness_item_detail_disclosure_present	1556	100	1552
test.claim.roadmap_page_witness	witness_status_chip_min_width	1556	100	1552
test.claim.roadmap_page_witness	witness_ticket_rows_render_structured	1556	100	1552
v2.test.claim.identity_captured_navigation.roster_gate	roster_ingest_stage_zero_suspects_within_ratchet	1556	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_normalized_arrow_has_branch_body_holds	1556	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_named_arg_unchanged	1555	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_paren_arithmetic_unchanged	1555	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_single_param_lambda_parses	1555	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_sum_decl_unchanged	1555	100	1552
gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_header_only_module_still_accepts	1555	100	1552
gunbc.test.claim.realization_sweep_test	witness_sweep_receipt_and_histogram_render_every_row	1555	100	1552
test.claim.roadmap_page_witness	witness_authority_shows_finish_line_progress	1555	100	1552
test.claim.roadmap_page_witness	witness_page_containers_centered	1555	100	1552
v2.test.claim.identity_captured_navigation.roster_gate	red_control_planted_identity_escape_finding_count_is_one	1555	100	1552
v2.test.claim.identity_captured_navigation.roster_gate	red_control_planted_identity_escape_still_alarms	1555	100	1552
v2.test.claim.identity_captured_navigation.roster_gate	roster_accumulator_copy_analyze_zero_suspects_within_ratchet	1555	100	1552
v2.test.claim.identity_captured_navigation.roster_gate	unrelated_caret_literal_call_not_flagged	1555	100	1552
v2.test.execution.bind_eval_by_execution	bind_census_ingested_wrong_value_red_holds	1555	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_emit_octet_bridge_shape_holds	1555	100	1552
v2.test.execution.emit_host_native_only_verdict	emit_host_native_only_classical_not_holds	1555	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_normalized_arrow_branch_holds	1555	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_resolved_then_arm_has_magnitude_child_holds	1555	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick2_ingested_pick_true_executes_holds	1555	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_missing_param_refuses_RED	1554	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_multi_param_lambda_parses	1554	100	1552
gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_lowered_body_module_still_grafts	1554	100	1552
test.claim.roadmap_page_witness	witness_authority_differs_from_empty	1554	100	1552
v2.test.claim.body_lowering.atom_body_discriminator_witness	atom_body_discriminator_single_pass_receipt_holds	1554	100	1552
v2.test.claim.identity_captured_navigation.roster_gate	green_control_sanctioned_reader_body_has_no_findings_at_all	1554	100	1552
v2.test.claim.identity_captured_navigation.roster_gate	roster_body_lowering_fold_zero_suspects_within_ratchet	1554	100	1552
v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_normalize_holds	1554	100	1552
v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_source_pipeline_admits_add_holds	1554	100	1552
v2.test.execution.bind_eval_by_execution	bind_census_ingested_executes_holds	1554	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	emit_host_classical_not_ingested_equals_eval_holds	1554	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	emit_host_classical_not_ingested_swapped_refuses_holds	1554	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_canonical_emit_refuses_underived_holds	1554	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_emit_accepts_holds	1554	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_emit_source_arm_shape_holds	1554	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_staging_emit_refuses_underived_holds	1554	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_staging_swapped_emit_refuses_underived_holds	1554	100	1552
v2.test.execution.emit_host_produced_module_equals_eval	emit_host_produced_module_add_equals_eval_holds	1554	100	1552
v2.test.execution.emit_host_produced_module_equals_eval	emit_host_produced_module_wrong_oracle_refuses_holds	1554	100	1552
v2.test.execution.loop_eval_by_execution	loop_census_ingested_executes_holds	1554	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_eval_equals_holds	1554	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_parsed_then_arm_has_magnitude_child_holds	1554	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_resolved_else_arm_has_magnitude_child_holds	1554	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick2_ingested_pick_false_executes_holds	1554	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick2_ingested_swapped_arms_red_holds	1554	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_pick_false_executes_holds	1554	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_pick_true_executes_holds	1554	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_pipeline_resolves_holds	1554	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_authored_algebra_shape_parses	1553	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_lambda_block_body_parses	1553	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_match_arm_fat_arrow_unchanged	1553	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_missing_body_refuses_RED	1553	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_single_paren_param_refuses_RED	1553	100	1552
gunbc.test.claim.dag_arrow_lambda_witness_test	witness_zero_param_refuses_RED	1553	100	1552
gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_type_fn_module_dissolution_refuses_RED	1553	100	1552
gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_type_only_module_dissolution_refuses_RED	1553	100	1552
gunbc.test.claim.realization_sweep_test	witness_sweep_rows_join_planted_roster_exactly_once	1553	100	1552
test.claim.roadmap_page_witness	witness_dispatch_button_carries_accent	1553	100	1552
test.claim.roadmap_page_witness	witness_style_child_combinator_unescaped	1553	100	1552
v2.test.claim.identity_captured_navigation.roster_gate	green_control_sanctioned_reader_body_not_flagged	1553	100	1552
v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_parse_holds	1553	100	1552
v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_resolve_holds	1553	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_arrow_has_match_holds	1553	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_eval_subgraph_canonical_octet_zero_holds	1553	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_real_infer_holds	1553	100	1552
v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_resolves_holds	1553	100	1552
v2.test.execution.emit_host_native_only_verdict	emit_host_native_only_classical_not_swapped_mismatch_detected_holds	1553	100	1552
v2.test.execution.emit_host_produced_module_equals_eval	produced_module_two_distinct_fns_assemble	1553	100	1552
v2.test.execution.loop_eval_by_execution	loop_census_ingested_wrong_value_red_holds	1553	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_normalized_branch_holds	1553	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_normalized_then_arm_has_magnitude_child_holds	1553	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_pipeline_resolves_holds	1553	100	1552
v2.test.execution.pick_ingested_probe	pick_probe_swapped_arms_structural_red_holds	1553	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_normalized_swapped_arms_structural_red_holds	1553	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_parsed_module_from_source_holds	1553	100	1552
v2.test.execution.pick_ingested_structural_lowering	pick_ingested_swapped_arms_red_holds	1553	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_oci_other_digest_algorithm_accepts	1385	100	1552
test.claim.transport_script_wall_compile_red	wall_red_string_join_into_retained_record_refuses	1348	100	1552
test.claim.transport_script_wall_compile_red	wall_red_deleted_free_minter_refuses	1308	100	1552
test.claim.roadmap_static_site_witness	witness_healthz_route_json_ok	1247	100	1552
test.claim.roadmap_site_surface_readiness	witness_roadmap_site_surface_readiness_materialized_batch_holds	1231	100	1552
test.claim.roadmap_static_site_witness	witness_roadmap_route_is_plain_text	1212	100	1552
test.claim.occurrence_identity_witness_test	occurrence_identity_typed_ordinal_boundary_refuses_raw_scalar_holds	1210	100	1552
test.claim.roadmap_static_site_witness	witness_text_routes_include_health_and_artifacts	1210	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_surface_projection_ignores_identity_members	1202	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_absent_identity_is_typed_absent_not_unparseable	1197	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_correct_identity_with_one_stale_artifact_refuses	1197	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_body_without_release_identity_refuses	1195	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_third_candidate_still_sees_launched_revision	1195	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_matching_release_and_surface_grounds	1193	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_identity_round_trips_from_served_body	1192	100	1552
test.claim.live_deploy.readiness	witness_bounded_poll_early_exit_on_grounded_read	1191	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_correct_artifacts_with_wrong_bundle_identity_refuses	1189	100	1552
test.claim.live_deploy.running_release_identity_witness_test	witness_readiness_refuses_when_reported_revision_is_not_the_admitted_one	1185	100	1552
test.claim.live_deploy.readiness	witness_transport_get_probe_over_ssh_does_not_ground_mock_stdout	1183	100	1552
test.claim.live_deploy.readiness	witness_accept_no_response_probe_fails_fast_not_hangs	1181	100	1552
test.claim.live_deploy.readiness	witness_bounded_poll_one_iteration_composes_probe_and_modeled_sleep	1172	100	1552
test.claim.live_deploy.readiness	witness_ssh_mock_stdout_is_discriminating_red	1171	100	1552
test.claim.live_deploy.emit	twin_and_production_configure_disjoint_tailscale_endpoints	1037	100	1552
test.claim.roadmap_row_witness	roadmap_row_page_carries_the_cells	1018	100	1552
test.claim.roadmap_tactile_witness	witness_sound_toggle_label_is_painted_by_the_program_not_the_markup	996	100	1552
v2.test.lens_inert_carrier.inert_carrier_test	inert_carrier_no_unrostered_or_stale	971	100	1552
test.claim.roadmap_authority	witness_projection_is_active_only	950	100	1552
test.claim.roadmap_page_witness	witness_daily_leads_operational_not_narrative	939	100	1552
test.claim.roadmap_frontier_witness	witness_authority_daily_workspace_serializes	927	100	1552
v2.test.lens_testgen.shadow_ci_receipt	lens_testgen_shadow_ci_run_receipt_holds	867	100	1552
v2.test.lens_testgen.generator_provenance	lens_testgen_scheduled_generators_carry_provenance_holds	845	100	1552
test.claim.root4_measure_missing_generics_witness	root4_measure_missing_generics_witness_holds	825	100	1552
test.claim.dissolution_census_witness_test	unbound_dissolution_nonempty_literal_accepts	771	100	1552
v2.test.execution.emit_host_field_access_equals_eval	emit_host_field_access_equals_eval_holds	755	100	1552
