test.claim.accelerator_demo_execution_witness.accelerator_demo_execution_lane_witnesses	 runtime error: undefined variable: LocalAccelerator
test.claim.accelerator_demo_model_witness.accelerator_demo_modeling_lane_witnesses	 runtime error: undefined variable: LocalAccelerator
test.claim.config_record_emit_witness.witness_manifest_knobs_space_separated	 runtime error: no such function: manifest_record_knobs
test.claim.config_record_emit_witness.witness_same_fields_differ_across_knobs	 runtime error: no such function: manifest_record_knobs
test.claim.ebay_listing_witness.witness_default_listing_policy_targets_us_marketplace	 runtime error: no such function: default_marketplace
test.claim.fleet_receipt_collector_witness.witness_partial_collection_never_yields_fleet_converged	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.go_module_versioning_witness.w_go_manifest_file	 runtime error: no such function: go_manifest_file
test.claim.hand_lens_host_bridge_scaffold_watchdog.hand_lens_host_bridge_scaffold_roster_tracks_5364_dissolution	 runtime error: no such function: transport_script_position_host_bridge_dissolution_trigger
test.claim.hetzner_cost_quote_witness.hetzner_cax41_cost_class_is_per_second_billed	 runtime error: no such function: cax41_catalog
test.claim.hetzner_cost_quote_witness.hetzner_cax41_currency_is_eur	 runtime error: no such function: cax41_catalog
test.claim.hetzner_cost_quote_witness.hetzner_cax41_unit_price_matches_catalog	 runtime error: no such function: cax41_catalog
test.claim.host_phase_status.witness_reconcile_covers_upsert_teardown_and_noop	 runtime error: type error: atom_identity_hash requires exactly one string argument
test.claim.host_phase_status.witness_matrix_is_exact_join_over_participation_programs	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_live_observation_frontier_is_one_cell	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_unmodeled_cells_track_spine_gaps	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_remaining_work_counts_every_unfinished_cell	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_program_scoping_preserves_the_runner_fleet_matrix	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_fleet_matrix_has_no_duplicated_cells	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_matrix_hosts_are_exactly_the_enrolled_roster	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_enrolled_sparks_carry_exactly_the_shared_obligations	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_enrolled_spark_cells_are_all_unobserved	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_runner_only_obligations_exist_on_runner_hosts	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status.witness_every_covered_cell_today_is_the_authored_one	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_assimilation_deduction.pre_install_within_budget_is_absent_not_converged	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_assimilation_deduction.post_install_lease_row_deduces_converged_noop	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_assimilation_deduction.unreadable_lease_is_unknown_refused_not_pending	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_assimilation_deduction.no_lease_past_budget_is_drifted_not_fabricated_success	 runtime error: no such function: srv3_install_hang_no_router_lease_ms
