ordinal	entry	function
1	dag/test/claim/accelerator_demo_execution_witness_test.dag	accelerator_demo_execution_lane_witnesses
2	dag/test/claim/accelerator_demo_gpu_witness_test.dag	accelerator_demo_gpu_modeling_witnesses
3	dag/test/claim/accelerator_demo_model_witness_test.dag	accelerator_demo_modeling_lane_witnesses
4	dag/test/claim/access_authorization_profile_witness_test.dag	overlapping_audiences_are_not_forced_into_a_chain
5	dag/test/claim/access_iam_validation_test.dag	iam_internal_prefix_mfa_permits
6	dag/test/claim/access_layer_extension_witness_test.dag	posix_root_identification_holds
7	dag/test/claim/access_token_ensure_witness_test.dag	auth_deficit_failure_classifies_interactive_upsert
8	dag/test/claim/access_validation_test.dag	posix_owner_can_read
9	dag/test/claim/acquisition_mechanism_witness_test.dag	w_two_step_funnel_composes_exact_fraction_and_cost
10	dag/test/claim/advertising_interface_witness_test.dag	w_google_billable_unit_catalog_is_total_and_wire_labeled
11	dag/test/claim/annotation_carrier_witness_test.dag	census_closure_frontier_rows_count_is_twenty_one
12	dag/test/claim/anomaly_evidence_witness_test.dag	anomaly_reason_is_a_surface
13	dag/test/claim/argv_command_render_witness_test.dag	shell_quote_plain_args_single_quoted
14	dag/test/claim/artifact_store_fs_witness_test.dag	artifact_fs_roundtrip_holds
15	dag/test/claim/artifact_store_scratch_grant_witness_test.dag	artifact_store_scratch_grant_admits_gunbc_tmp_holds
16	dag/test/claim/artifact_store_witness_test.dag	store_construction_reads_eviction_holds
17	dag/test/claim/asrock_live_probe_witness_test.dag	srv3_live_bmc_host_is_grounded
18	dag/test/claim/bach_double_slit_observation_witness_test.dag	w_bach_cited_buildup_progression_holds
19	dag/test/claim/bach_double_slit_path_additivity_synthetic_fixture_witness_test.dag	w_synthetic_path_additivity_refuted_by_fold_derivation
20	dag/test/claim/base64_rfc4648_witness_test.dag	bytes_octets_iso_holds
21	dag/test/claim/bmc_auth_runtime_secret_seam_test.dag	factory_published_password_promotes_to_basic_auth_secret
22	dag/test/claim/bmc_bootstrap_provision_witness_test.dag	bootstrap_bindings_least_privilege
23	dag/test/claim/bmc_capability_solve_witness_test.dag	firmware_wire_version_is_parsed_before_track_matching
24	dag/test/claim/bmc_factory_credential_witness_test.dag	bmc_factory_credential_holds
25	dag/test/claim/bmc_fan_converge_witness_test.dag	duty_curve_cannot_fall_after_reaching_emergency_full_duty
26	dag/test/claim/bmc_firmware_thermal_witness_test.dag	every_metal_host_uses_the_single_global_bmc_valid_state
27	dag/test/claim/bmc_live_receipts_witness_test.dag	firmware_and_redfish_surfaces_are_literal_versioned_observations
28	dag/test/claim/bmc_netboot_serve_witness_test.dag	srv4_grub_cfg_boots_mirror_bulk_with_bmc_seed
29	dag/test/claim/bmc_netboot_shell_boot_witness_test.dag	srv4_shell_boot_sequence_direct_kernel
30	dag/test/claim/bmc_onboard_body_witness_test.dag	netrc_content_shape_holds
31	dag/test/claim/bmc_onboarding_lifecycle_witness_test.dag	bmc_onboarding_lifecycle_is_linear_dag
32	dag/test/claim/bmc_redfish_grounding_witness_test.dag	bmc_redfish_grounding_holds
33	dag/test/claim/bmc_token_federation_witness_test.dag	bmc_assimilator_least_privilege_two_scoped_roles
34	dag/test/claim/bmc_typed_operations_witness_test.dag	object_mapper_zero_cardinality_is_preserved
35	dag/test/claim/bmc_virtual_media_witness_test.dag	srv4_nbd_export_read_only_seeded_iso
36	dag/test/claim/bmc_wif_delegation_chain_witness_test.dag	chain_has_four_steps_in_delegation_order
37	dag/test/claim/branded_list_first_optional_witness_test.dag	branded_list_first_content_hash_method_nonempty
38	dag/test/claim/budget_tree_witness_test.dag	witness_conservation_residue_lens
39	dag/test/claim/build_artifact_corruption_probe_witness_test.dag	build_artifact_corruption_probe_holds
40	dag/test/claim/build_cache_endpoint_path_test.dag	witness_the_srv4_stale_socket_is_the_one_state_that_unlinks
41	dag/test/claim/build_cache_ensure_test.dag	witness_the_generated_unit_reproduces_the_captured_environment
42	dag/test/claim/build_cache_placement_observation_test.dag	witness_retired_slot_owner_is_runner_owned_and_retired
43	dag/test/claim/builtin_get_resolver_test.dag	witness_get_in_bounds_returns_element
44	dag/test/claim/busybox_bmc_build_witness_test.dag	busybox_build_is_modeled_and_grounded
45	dag/test/claim/cache_key_completeness_test.dag	witness_cav_toolchain_derives_transform
46	dag/test/claim/cache_layer_planner_test.dag	witness_cheap_recompute_skips_wan_layers
47	dag/test/claim/cache_purity_verdict_test.dag	witness_pure_on_match
48	dag/test/claim/card_intake_risk_witness_test.dag	witness_zero_results_classifies_no_match
49	dag/test/claim/cargo_target_path_witness_test.dag	lib_lands_on_src_lib
50	dag/test/claim/cargo_version_witness_test.dag	w_stage0_default_package_version
