test.claim.accelerator_demo_execution_witness.accelerator_demo_execution_lane_witnesses	REFERENCE-UNAVAILABLE	R6-variant-or-type-name	LocalAccelerator	undefined variable: LocalAccelerator
test.claim.accelerator_demo_model_witness.accelerator_demo_modeling_lane_witnesses	REFERENCE-UNAVAILABLE	R6-variant-or-type-name	LocalAccelerator	undefined variable: LocalAccelerator
test.claim.ci_deploy_target_host_witness.witness_deploy_stage_pins_srv1_runner_label	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	gunbc_ci_deploy_srv1_stage	no such function: gunbc_ci_deploy_srv1_stage
test.claim.ci_deploy_target_host_witness.witness_deploy_job_not_on_ubicloud_runner	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	gunbc_ci_deploy_srv1_stage	no such function: gunbc_ci_deploy_srv1_stage
test.claim.config_record_emit_witness.witness_manifest_knobs_space_separated	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	manifest_record_knobs	no such function: manifest_record_knobs
test.claim.config_record_emit_witness.witness_same_fields_differ_across_knobs	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	manifest_record_knobs	no such function: manifest_record_knobs
test.claim.design_argument_witness.design_s1_argument_form_is_valid	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	design_section_1_argument	no such function: design_section_1_argument
test.claim.design_argument_witness.design_s1_argument_is_non_vacuous	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	design_section_1_argument	no such function: design_section_1_argument
test.claim.design_argument_witness.design_full_argument_form_is_valid	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	design_argument	no such function: design_argument
test.claim.design_argument_witness.design_full_argument_has_no_orphan	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	design_argument	no such function: design_argument
test.claim.design_argument_witness.design_full_argument_is_acyclic	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	design_argument	no such function: design_argument
test.claim.design_argument_witness.design_full_argument_axiom_set_is_closed	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	design_argument	no such function: design_argument
test.claim.design_argument_witness.orphan_is_detected	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	design_axioms	no such function: design_axioms
test.claim.design_argument_witness.cycle_is_detected	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	design_axioms	no such function: design_axioms
test.claim.design_argument_witness.smuggled_axiom_is_detected	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	design_axioms	no such function: design_axioms
test.claim.ebay_listing_witness.witness_default_listing_policy_targets_us_marketplace	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	default_marketplace	no such function: default_marketplace
test.claim.emit_host_gate_witness.w_rust_fixture_nonempty	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	rust_stdout_fixture_source	no such function: rust_stdout_fixture_source
test.claim.emit_host_gate_witness.w_python_fixture_nonempty	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	python_stdout_fixture_source	no such function: python_stdout_fixture_source
test.claim.emit_host_gate_witness.w_go_fixture_nonempty	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	go_stdout_fixture_source	no such function: go_stdout_fixture_source
test.claim.emit_host_gate_witness.w_ts_fixture_nonempty	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	ts_host_fixture_source	no such function: ts_host_fixture_source
test.claim.emit_host_gate_witness.w_byte_count_is_five	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	stdout_byte_count	no such function: stdout_byte_count
test.claim.emit_host_gate_witness.w_ts_byte_count_is_four	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	ts_signed_i32_le_byte_count	no such function: ts_signed_i32_le_byte_count
test.claim.fleet_convergence_verdict_witness.live_fleet_is_not_converged_and_unobserved_cells_are_counted	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_post_install_lease_table_fixture	no such function: srv3_post_install_lease_table_fixture
test.claim.fleet_convergence_verdict_witness.knob_receipts_alone_cannot_converge_the_fleet	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_post_install_lease_table_fixture	no such function: srv3_post_install_lease_table_fixture
test.claim.fleet_receipt_collector_witness.witness_partial_collection_never_yields_fleet_converged	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.go_module_versioning_witness.w_go_manifest_file	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	go_manifest_file	no such function: go_manifest_file
test.claim.hand_lens_host_bridge_scaffold_watchdog.hand_lens_host_bridge_scaffold_roster_tracks_5364_dissolution	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	transport_script_position_host_bridge_dissolution_trigger	no such function: transport_script_position_host_bridge_dissolution_trigger
test.claim.hetzner_cost_quote_witness.hetzner_cax41_cost_class_is_per_second_billed	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	cax41_catalog	no such function: cax41_catalog
test.claim.hetzner_cost_quote_witness.hetzner_cax41_currency_is_eur	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	cax41_catalog	no such function: cax41_catalog
test.claim.hetzner_cost_quote_witness.hetzner_cax41_unit_price_matches_catalog	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	cax41_catalog	no such function: cax41_catalog
