# source_run=33242663070 head=0ed773f1a5 (full-tree floor, my branch)  seam_denominator=14  digest=8f7b9bb846bdac2c
# candidate_entries=1145  joined_claims=8450  standing is SCHEDULER standing, not cutover disposition
claim_identity	module	entry_path	floor_standing	matched_prefix
dag.test.claim.lifecycle_survivor_corpus_census.no_raw_lifecycle_string_survivors_remain	dag.test.claim.lifecycle_survivor_corpus_census	dag/test/claim/lifecycle_survivor_corpus_census_test.dag	FloorDeclinedCostDebt	
dag.test.claim.lifecycle_survivor_corpus_census.scan_denominator_contains_bare_string_declarations	dag.test.claim.lifecycle_survivor_corpus_census	dag/test/claim/lifecycle_survivor_corpus_census_test.dag	FloorPlanned	
dag.test.claim.lifecycle_survivor_corpus_census.scan_denominator_includes_test_modules	dag.test.claim.lifecycle_survivor_corpus_census	dag/test/claim/lifecycle_survivor_corpus_census_test.dag	FloorPlanned	
dag.test.claim.lifecycle_survivor_corpus_census.scan_denominator_is_a_real_corpus	dag.test.claim.lifecycle_survivor_corpus_census	dag/test/claim/lifecycle_survivor_corpus_census_test.dag	FloorDeclinedCostDebt	
dag.test.claim.lifecycle_survivor_corpus_census.scan_reads_a_declared_type_for_every_declaration	dag.test.claim.lifecycle_survivor_corpus_census	dag/test/claim/lifecycle_survivor_corpus_census_test.dag	FloorPlanned	
dag.test.claim.lifecycle_survivor_scan_witness.planted_migrated_control_is_not_selected	dag.test.claim.lifecycle_survivor_scan_witness	dag/test/claim/lifecycle_survivor_scan_witness_test.dag	FloorPlanned	
dag.test.claim.lifecycle_survivor_scan_witness.planted_nonempty_str_survivor_is_selected	dag.test.claim.lifecycle_survivor_scan_witness	dag/test/claim/lifecycle_survivor_scan_witness_test.dag	FloorPlanned	
dag.test.claim.lifecycle_survivor_scan_witness.planted_ordinary_string_note_is_not_selected	dag.test.claim.lifecycle_survivor_scan_witness	dag/test/claim/lifecycle_survivor_scan_witness_test.dag	FloorPlanned	
dag.test.claim.lifecycle_survivor_scan_witness.planted_raw_survivor_is_selected	dag.test.claim.lifecycle_survivor_scan_witness	dag/test/claim/lifecycle_survivor_scan_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_commit_roster_enrollment_admits	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_commit_roster_row_is_not_frozen	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_departed_row_fails_the_join	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_empty_function_list_is_malformed	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_empty_roster_refuses_the_same_row	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_fixture_path_is_unaffected	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_frozen_row_is_not_covered	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_frozen_row_is_tolerated_by_the_floor	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_grown_baseline_withdraws_the_toleration	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_included_row_is_never_refused	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_join_is_by_identity_not_by_entry	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_live_roster_is_well_formed	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_live_rows_join_the_discovered_population	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
dag.test.claim.witness_deferral_freeze_witness.witness_deferral_freeze_rust_realization_is_declared_scaffold	dag.test.claim.witness_deferral_freeze_witness	dag/test/claim/witness_deferral_freeze_witness_test.dag	FloorPlanned	
