error: function `census_smoke_receipt` returned `module_file	enclosing_decl	position_kind	authored_name	decl_file	legacy_base	authority_base	outcome
std.algebra	Magma	declaration_field	fn	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Magma	fn_signature_param	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Semigroup	declaration_field	fn	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Semigroup	fn_signature_param	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Monoid	declaration_field	fn	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Monoid	declaration_field	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Monoid	fn_signature_param	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	CommutativeMonoid	declaration_field	fn	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	CommutativeMonoid	declaration_field	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	CommutativeMonoid	fn_signature_param	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Group	declaration_field	fn	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Group	declaration_field	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Group	declaration_field	fn	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Group	fn_signature_param	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	AbelianGroup	declaration_field	fn	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	AbelianGroup	declaration_field	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	AbelianGroup	declaration_field	fn	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	AbelianGroup	fn_signature_param	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	GroupCompletion	declaration_field	M	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	GroupCompletion	declaration_field	M	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	GroupCompletion	fn_signature_param	M	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	FieldOfFractions	declaration_field	R	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	FieldOfFractions	declaration_field	R	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	FieldOfFractions	fn_signature_param	R	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Semiring	declaration_field	fn	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Semiring	declaration_field	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Semiring	declaration_field	fn	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Semiring	declaration_field	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	Semiring	fn_signature_param	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	CommutativeSemiring	declaration_field	fn	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
std.algebra	CommutativeSemiring	declaration_field	T	dag/std/algebra.dag		<structural>	DivergesWithExactIdentity
