# Gate 2 per-module histogram (swift-bee-614 Phase 1) — slim, no all_sites column
# main_head=73eea76dd7c9  CSSL_STD_SEED_LINK=1
module	emit_ok	cargo_verdict	total_errors	unique_ecodes	ecode_histogram
src/v2/compiler/00_compile.dag	1	refuse	7786	21	E0308:6684;E0277:349;E0425:235;E0599:165;E0369:126;E0282:37;E0107:29;E0433:27;E0063:23;E0422:23;E0614:19;E0597:16;E0631:16;E0061:13;E0109:10;E0609:5;E0310:3;E0271:2;E0392:2;E0560:1;E0573:1
src/v2/compiler/01_tokenize.dag	1	refuse	852	10	E0308:700;E0599:91;E0277:44;E0369:6;E0282:3;E0609:3;E0597:2;E0061:1;E0107:1;E0432:1
src/v2/compiler/02_parse.dag	1	refuse	5091	20	E0308:4392;E0277:265;E0599:107;E0369:103;E0425:94;E0422:22;E0107:20;E0063:17;E0631:16;E0282:13;E0109:10;E0614:8;E0061:7;E0433:7;E0609:4;E0392:2;E0310:1;E0560:1;E0573:1;E0597:1
src/v2/compiler/03_body_producer.dag	1	refuse	413	7	E0308:294;E0599:80;E0277:33;E0369:3;E0107:1;E0432:1;E0614:1
src/v2/compiler/03_ingest.dag	1	refuse	7822	21	E0308:6711;E0277:351;E0425:241;E0599:165;E0369:126;E0282:37;E0107:29;E0433:27;E0063:23;E0422:23;E0614:20;E0597:16;E0631:16;E0061:13;E0109:10;E0609:5;E0310:3;E0271:2;E0392:2;E0560:1;E0573:1
src/v2/compiler/03_name_resolve.dag	1	refuse	4631	17	E0308:4115;E0277:178;E0425:99;E0599:90;E0369:42;E0063:17;E0282:15;E0631:14;E0422:13;E0433:11;E0109:10;E0614:10;E0107:7;E0061:3;E0609:3;E0392:2;E0597:2
src/v2/compiler/03_normalize.dag	1	refuse	5533	17	E0308:4935;E0277:175;E0425:166;E0599:122;E0369:41;E0063:17;E0631:14;E0422:12;E0433:11;E0109:10;E0282:9;E0614:7;E0107:6;E0609:3;E0061:2;E0392:2;E0597:1
src/v2/compiler/03_resolve.dag	1	refuse	4546	17	E0308:4049;E0277:178;E0425:95;E0599:90;E0369:42;E0063:17;E0631:14;E0422:13;E0109:10;E0282:8;E0614:8;E0433:7;E0107:6;E0609:3;E0061:2;E0392:2;E0597:2
src/v2/compiler/04_infer.dag	1	refuse	4680	17	E0308:4162;E0277:180;E0425:106;E0599:90;E0369:42;E0063:18;E0631:14;E0422:13;E0109:10;E0433:10;E0282:8;E0614:8;E0107:6;E0597:5;E0609:4;E0061:2;E0392:2
src/v2/compiler/05_emit.dag	1	refuse	4868	17	E0308:4318;E0277:186;E0425:115;E0599:100;E0369:42;E0063:18;E0631:14;E0422:13;E0433:13;E0109:10;E0597:9;E0282:8;E0614:8;E0107:6;E0609:4;E0061:2;E0392:2
src/v2/compiler/05_emit_orchestration.dag	1	refuse	5908	17	E0308:5126;E0277:336;E0425:189;E0599:100;E0369:47;E0063:20;E0631:15;E0422:13;E0433:13;E0109:10;E0597:9;E0282:8;E0614:8;E0107:6;E0609:4;E0061:2;E0392:2
src/v2/compiler/05_eval.dag	1	refuse	5049	19	E0308:4471;E0277:203;E0425:108;E0599:93;E0369:60;E0063:21;E0631:14;E0422:13;E0109:10;E0433:10;E0107:9;E0614:9;E0282:8;E0597:8;E0609:4;E0061:2;E0271:2;E0310:2;E0392:2
