# classifier_stamp: rule1-first-error-plus-residual-histogram-v3-uncoded-split
# protocol: CSSL_STD_SEED_LINK=1; shim_lib_rel=empty; gunbc compile -> cssl_assemble -> cargo build --release --lib
# REFRESHED 2026-07-26 post-#7197 GroupCompletion merge (efe67794). gunbc_sha=09aa03dea70b1f2d50d5131e82cfc831abcb611e735d0c607c7d8d0389fee0bc git_sha=efe67794cdc2e77ed83157fb8e891879d6e3307b.
# Canonical-seven sizing authority: docs/probes/refresh_canonical_seven_2026-07-26.tsv.
module	emit	cargo	first_error	mapped_gate	verdict	residual_histogram	raw_dup_pub_use
src/v2/compiler/02_parse.dag	76 files emitted, 63 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:178 error[E0277]:162 error[E0599]:93 error[E0369]:73 error[E0107]:25 error[E0063]:18 error[E0282]:15 error[E0609]:10 error[E0061]:6 error[E0597]:5 error[E0614]:3 error[E0392]:2 error[E0615]:1 error[E0573]:1 error[E0560]:1 error[E0310]:1 error[E0004]:1 uncoded_unreachable_pattern:14 uncoded_UNRESOLVED_CompilerError:1	0
src/v2/compiler/03_ingest.dag	133 files emitted, 258 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:432 error[E0277]:193 error[E0599]:125 error[E0369]:90 error[E0107]:58 error[E0614]:32 error[E0597]:25 error[E0282]:23 error[E0063]:22 error[E0609]:11 error[E0631]:9 error[E0433]:8 error[E0061]:7 error[E0425]:4 error[E0560]:3 error[E0310]:3 error[E0392]:2 error[E0615]:1 error[E0573]:1 error[E0533]:1 error[E0271]:1 error[E0223]:1 error[E0004]:1 uncoded_unreachable_pattern:28 uncoded_UNRESOLVED_CompilerError:1	0
src/v2/compiler/06_translate.dag	60 files emitted, 27 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:114 error[E0599]:93 error[E0277]:76 error[E0063]:18 error[E0369]:14 error[E0597]:13 error[E0107]:13 error[E0282]:9 error[E0609]:6 error[E0614]:3 error[E0392]:2 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded_unreachable_pattern:21 uncoded_UNRESOLVED_CompilerError:1	0
src/v2/compiler/05_eval.dag	59 files emitted, 26 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:117 error[E0599]:91 error[E0277]:81 error[E0369]:29 error[E0614]:22 error[E0063]:20 error[E0107]:18 error[E0282]:9 error[E0597]:8 error[E0609]:6 error[E0560]:2 error[E0392]:2 error[E0310]:2 error[E0271]:1 error[E0061]:1 error[E0004]:1 uncoded_unreachable_pattern:20 uncoded_UNRESOLVED_CompilerError:1	0
src/v2/compiler/materialization_carriers.dag	41 files emitted, 50 diagnostics	refuse	error[E0107]: missing generics for struct `Measure`	UNKNOWN	UNKNOWN-error[E0107]:_missing_generics_for_struct_`Measure`	error[E0277]:90 error[E0599]:81 error[E0308]:77 error[E0369]:60 error[E0107]:13 error[E0061]:2 error[E0282]:1 uncoded_unreachable_pattern:1	0
src/v2/compiler/05_emit.dag	61 files emitted, 27 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:114 error[E0599]:93 error[E0277]:76 error[E0063]:18 error[E0369]:14 error[E0597]:13 error[E0107]:13 error[E0282]:9 error[E0609]:6 error[E0614]:3 error[E0392]:2 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded_unreachable_pattern:21 uncoded_UNRESOLVED_CompilerError:1	0
src/v2/compiler/05_emit_orchestration.dag	69 files emitted, 29 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:119 error[E0599]:93 error[E0277]:81 error[E0369]:19 error[E0063]:18 error[E0597]:13 error[E0107]:13 error[E0282]:9 error[E0609]:6 error[E0614]:3 error[E0560]:3 error[E0392]:2 error[E0061]:1 error[E0004]:1 uncoded_unreachable_pattern:21 uncoded_UNRESOLVED_CompilerError:1	0
src/v2/compiler/emit_module.dag	62 files emitted, 27 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:122 error[E0599]:93 error[E0277]:76 error[E0063]:18 error[E0369]:14 error[E0597]:13 error[E0107]:13 error[E0282]:9 error[E0609]:6 error[E0614]:3 error[E0392]:2 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded_unreachable_pattern:21 uncoded_UNRESOLVED_CompilerError:1	0
src/v2/compiler/emit_produced.dag	73 files emitted, 53 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:141 error[E0599]:96 error[E0277]:90 error[E0614]:21 error[E0063]:18 error[E0107]:16 error[E0369]:15 error[E0597]:13 error[E0282]:12 error[E0609]:6 error[E0392]:2 error[E0310]:2 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded_unreachable_pattern:21 uncoded_UNRESOLVED_CompilerError:1	0
src/v2/compiler/emit_semantic_decl.dag	63 files emitted, 27 diagnostics	refuse	error: UNRESOLVED_CompilerError	UNKNOWN_unresolved	UNKNOWN-error:_UNRESOLVED_CompilerError	error[E0308]:115 error[E0599]:93 error[E0277]:76 error[E0063]:18 error[E0369]:14 error[E0597]:13 error[E0107]:13 error[E0282]:10 error[E0609]:6 error[E0614]:3 error[E0392]:2 error[E0560]:1 error[E0061]:1 error[E0004]:1 uncoded_unreachable_pattern:22 uncoded_UNRESOLVED_CompilerError:1	0
