label	E0277_TRAIT_BOUND_CENSUS
classifier_stamp	trait-bound-plus-offending-type-v1
protocol	CSSL_STD_SEED_LINK=1; shim_lib_rel=empty; gunbc compile -> cssl_assemble -> cargo build --release --lib; PROBE_KEEP_LOG_DIR captures raw cargo.log; census = grep '^error\[E0277\]: the trait bound' | sed extract | sort | uniq -c
gunbc_sha	2901267968f5b02c496a97db96d350d336aa1dc6ff2939062fa1eec294e3942a
cssl_assemble_sha	2cd17c5040afb470ea3af631d5d773e5e7028c4691341b50187d186abfee3720
git_sha	0e14c301b40bc1f129af38cb4e432bd0d693f7f7
corroboration	per-module residual_histogram E0308/E0599/E0277 counts (76/75/81/76/129/76/90 for E0277) match docs/probes/refresh_canonical_seven_2026-07-26.tsv (git_sha efe67794c, #7275) exactly, confirming no drift between that receipt and this later git_sha for the canonical-seven counts
module	unsatisfied_trait_bound	occurrences
06_translate	T: Clone	27
06_translate	Node: std::hash::Hash	5
06_translate	Node: Eq	5
06_translate	EnvironmentBindingKey: std::hash::Hash	5
06_translate	ValueInterpreter: serde::Deserialize<'de>	3
06_translate	TransformInterpreter: serde::Deserialize<'de>	3
06_translate	MatchInterpreter: serde::Deserialize<'de>	3
06_translate	LoopInterpreter: serde::Deserialize<'de>	3
06_translate	BranchInterpreter: serde::Deserialize<'de>	3
06_translate	BindInterpreter: serde::Deserialize<'de>	3
06_translate	U: Clone	2
06_translate	ValueInterpreter: serde::Serialize	1
06_translate	TransformInterpreter: serde::Serialize	1
06_translate	MatchInterpreter: serde::Serialize	1
06_translate	LoopInterpreter: serde::Serialize	1
06_translate	BranchInterpreter: serde::Serialize	1
06_translate	BindInterpreter: serde::Serialize	1
06_translate	B: Clone	1
06_translate	A: Clone	1
04_infer	T: Clone	26
04_infer	Node: std::hash::Hash	5
04_infer	Node: Eq	5
04_infer	EnvironmentBindingKey: std::hash::Hash	5
04_infer	ValueInterpreter: serde::Deserialize<'de>	3
04_infer	TransformInterpreter: serde::Deserialize<'de>	3
04_infer	MatchInterpreter: serde::Deserialize<'de>	3
04_infer	LoopInterpreter: serde::Deserialize<'de>	3
04_infer	BranchInterpreter: serde::Deserialize<'de>	3
04_infer	BindInterpreter: serde::Deserialize<'de>	3
04_infer	U: Clone	2
04_infer	ValueInterpreter: serde::Serialize	1
04_infer	TransformInterpreter: serde::Serialize	1
04_infer	MatchInterpreter: serde::Serialize	1
04_infer	LoopInterpreter: serde::Serialize	1
04_infer	BranchInterpreter: serde::Serialize	1
04_infer	BindInterpreter: serde::Serialize	1
04_infer	B: Clone	1
04_infer	A: Clone	1
05_eval	T: Clone	26
05_eval	EnvironmentBindingKey: std::hash::Hash	6
05_eval	Node: std::hash::Hash	5
05_eval	Node: Eq	5
05_eval	ValueInterpreter: serde::Deserialize<'de>	3
05_eval	TransformInterpreter: serde::Deserialize<'de>	3
05_eval	MatchInterpreter: serde::Deserialize<'de>	3
05_eval	LoopInterpreter: serde::Deserialize<'de>	3
05_eval	EffectIoEvalBundle: serde::Deserialize<'de>	3
05_eval	BranchInterpreter: serde::Deserialize<'de>	3
05_eval	BindInterpreter: serde::Deserialize<'de>	3
05_eval	U: Clone	2
05_eval	ValueInterpreter: serde::Serialize	1
05_eval	TransformInterpreter: serde::Serialize	1
05_eval	MatchInterpreter: serde::Serialize	1
05_eval	LoopInterpreter: serde::Serialize	1
05_eval	EffectIoEvalBundle: serde::Serialize	1
05_eval	BranchInterpreter: serde::Serialize	1
05_eval	BindInterpreter: serde::Serialize	1
05_eval	B: Clone	1
05_eval	A: Clone	1
05_emit	T: Clone	27
05_emit	Node: std::hash::Hash	5
05_emit	Node: Eq	5
05_emit	EnvironmentBindingKey: std::hash::Hash	5
05_emit	ValueInterpreter: serde::Deserialize<'de>	3
05_emit	TransformInterpreter: serde::Deserialize<'de>	3
05_emit	MatchInterpreter: serde::Deserialize<'de>	3
05_emit	LoopInterpreter: serde::Deserialize<'de>	3
05_emit	BranchInterpreter: serde::Deserialize<'de>	3
05_emit	BindInterpreter: serde::Deserialize<'de>	3
05_emit	U: Clone	2
05_emit	ValueInterpreter: serde::Serialize	1
05_emit	TransformInterpreter: serde::Serialize	1
05_emit	MatchInterpreter: serde::Serialize	1
05_emit	LoopInterpreter: serde::Serialize	1
05_emit	BranchInterpreter: serde::Serialize	1
05_emit	BindInterpreter: serde::Serialize	1
05_emit	B: Clone	1
05_emit	A: Clone	1
emit_host	CommutativeSemiring<Magnitude>: serde::Deserialize<'de>	30
emit_host	T: Clone	27
emit_host	U: Clone	6
emit_host	EnvironmentBindingKey: std::hash::Hash	6
emit_host	CommutativeSemiring<Magnitude>: serde::Serialize	6
emit_host	Node: std::hash::Hash	5
emit_host	Node: Eq	5
emit_host	ValueInterpreter: serde::Deserialize<'de>	3
emit_host	TransformInterpreter: serde::Deserialize<'de>	3
emit_host	MatchInterpreter: serde::Deserialize<'de>	3
emit_host	LoopInterpreter: serde::Deserialize<'de>	3
emit_host	EffectIoEvalBundle: serde::Deserialize<'de>	3
emit_host	BranchInterpreter: serde::Deserialize<'de>	3
emit_host	BindInterpreter: serde::Deserialize<'de>	3
emit_host	ValueInterpreter: serde::Serialize	1
emit_host	TransformInterpreter: serde::Serialize	1
emit_host	MatchInterpreter: serde::Serialize	1
emit_host	LoopInterpreter: serde::Serialize	1
emit_host	EffectIoEvalBundle: serde::Serialize	1
emit_host	BranchInterpreter: serde::Serialize	1
emit_host	BindInterpreter: serde::Serialize	1
emit_host	B: Clone	1
emit_host	A: Clone	1
emit_module	T: Clone	27
emit_module	Node: std::hash::Hash	5
emit_module	Node: Eq	5
emit_module	EnvironmentBindingKey: std::hash::Hash	5
emit_module	ValueInterpreter: serde::Deserialize<'de>	3
emit_module	TransformInterpreter: serde::Deserialize<'de>	3
emit_module	MatchInterpreter: serde::Deserialize<'de>	3
emit_module	LoopInterpreter: serde::Deserialize<'de>	3
emit_module	BranchInterpreter: serde::Deserialize<'de>	3
emit_module	BindInterpreter: serde::Deserialize<'de>	3
emit_module	U: Clone	2
emit_module	ValueInterpreter: serde::Serialize	1
emit_module	TransformInterpreter: serde::Serialize	1
emit_module	MatchInterpreter: serde::Serialize	1
emit_module	LoopInterpreter: serde::Serialize	1
emit_module	BranchInterpreter: serde::Serialize	1
emit_module	BindInterpreter: serde::Serialize	1
emit_module	B: Clone	1
emit_module	A: Clone	1
materialization_carriers	CommutativeSemiring<Magnitude>: serde::Deserialize<'de>	45
materialization_carriers	T: Clone	21
materialization_carriers	CommutativeSemiring<Magnitude>: serde::Serialize	9
materialization_carriers	U: Clone	2
materialization_carriers	B: Clone	1
materialization_carriers	A: Clone	1
