file	line	col	expected	found	pair_signature	root	reason	entry_example
src/extdeps_uri.rs	752	43	Option<Rc<UriPercentEncodeRefusalCause>>	Rc<NamedEdgeTargetLookup>	expected `Option<Rc<UriPercentEncodeRefusalCause>>`, found `Rc<NamedEdgeTargetLookup>`	RESIDUE	unclassified_pair: Option<Rc<UriPercentEncodeRefusalCause>> | Rc<NamedEdgeTargetLookup>	materialization_carriers
src/extdeps_uri.rs	756	85	Option<Rc<UriPercentEncodeRefusalCause>>	Rc<NamedEdgeTargetLookup>	expected `Option<Rc<UriPercentEncodeRefusalCause>>`, found `Rc<NamedEdgeTargetLookup>`	RESIDUE	unclassified_pair: Option<Rc<UriPercentEncodeRefusalCause>> | Rc<NamedEdgeTargetLookup>	materialization_carriers
src/std_cache_interface.rs	638	12	Option<String>	None	expected `Option<String>`, found `None`	RESIDUE	unclassified_pair: Option<String> | None	materialization_carriers
src/std_cache_interface.rs	640	12	Option<String>	None	expected `Option<String>`, found `None`	RESIDUE	unclassified_pair: Option<String> | None	03_ingest
src/std_cache_interface.rs	654	22	Rc<Measure<(), (), i64>>	Rc<Measure<(), (), Rc<i64>>>	expected `Rc<Measure<(), (), i64>>`, found `Rc<Measure<(), (), Rc<i64>>>`	B1-repr	algebra_carrier_vs_named_type	03_ingest
src/std_cache_interface.rs	669	32	Rc<Measure<(), (), i64>>	Rc<Measure<(), (), Rc<i64>>>	expected `Rc<Measure<(), (), i64>>`, found `Rc<Measure<(), (), Rc<i64>>>`	B1-repr	algebra_carrier_vs_named_type	03_ingest
src/std_cache_interface.rs	695	5	String	Option<String>	expected `String`, found `Option<String>`	RESIDUE	unclassified_pair: String | Option<String>	materialization_carriers
src/std_cache_interface.rs	697	5	String	Option<String>	expected `String`, found `Option<String>`	RESIDUE	unclassified_pair: String | Option<String>	03_ingest
src/std_cache_interface.rs	699	5	String	Option<String>	expected `String`, found `Option<String>`	RESIDUE	unclassified_pair: String | Option<String>	materialization_carriers
src/std_cache_interface.rs	701	5	String	Option<String>	expected `String`, found `Option<String>`	RESIDUE	unclassified_pair: String | Option<String>	03_ingest
src/std_checked_arithmetic.rs	305	12	Rc<i64>	i64	expected `Rc<i64>`, found `i64`	R1	under_wrapped_bare_leaf	05_emit
src/std_effect_grant.rs	293	12	Rc<Grant>	Option<Rc<Grant>>	expected `Rc<Grant>`, found `Option<Rc<Grant>>`	RESIDUE	unclassified_pair: Rc<Grant> | Option<Rc<Grant>>	emit_host
src/std_measure.rs	459	18	Rc<i64>	i64	expected `Rc<i64>`, found `i64`	R1	under_wrapped_bare_leaf	05_emit
src/std_realization_measurement.rs	96	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), S, i64>>	expected `Rc<Measure<(), S, Rc<i64>>>`, found `Rc<Measure<(), S, i64>>`	B1-repr	algebra_carrier_vs_named_type	03_ingest
src/std_realization_schedule.rs	64	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), _, i64>>	expected `Rc<Measure<(), S, Rc<i64>>>`, found `Rc<Measure<(), _, i64>>`	B1-repr	algebra_carrier_vs_named_type	03_ingest
src/std_realization_schedule.rs	74	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), S, i64>>	expected `Rc<Measure<(), S, Rc<i64>>>`, found `Rc<Measure<(), S, i64>>`	B1-repr	algebra_carrier_vs_named_type	03_ingest
src/std_realization_schedule.rs	83	19	Rc<Measure<_, _, i64>>	Rc<Measure<(), S, Rc<i64>>>	expected `Rc<Measure<_, _, i64>>`, found `Rc<Measure<(), S, Rc<i64>>>`	B1-repr	algebra_carrier_vs_named_type	03_ingest
src/std_state_durability.rs	151	65	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>	expected `StateDurabilityBoundary`, found `Vector<Rc<StateDurabilityBoundary>>`	RESIDUE	unclassified_pair: StateDurabilityBoundary | Vector<Rc<StateDurabilityBoundary>>	03_ingest
src/std_state_durability.rs	162	70	Rc<StateDurabilityBoundary>	Rc<Vector<Rc<StateDurabilityBoundary>>>	expected `Rc<StateDurabilityBoundary>`, found `Rc<Vector<Rc<StateDurabilityBoundary>>>`	RESIDUE	unclassified_pair: Rc<StateDurabilityBoundary> | Rc<Vector<Rc<StateDurabilityBoundary>>>	03_ingest
src/std_state_durability.rs	290	152	StateDefinitionCallerAssertion	Vector<Rc<...>>	expected `StateDefinitionCallerAssertion`, found `Vector<Rc<...>>`	RESIDUE	unclassified_pair: StateDefinitionCallerAssertion | Vector<Rc<...>>	03_ingest
src/std_state_durability.rs	635	59	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>	expected `StateDurabilityBoundary`, found `Vector<Rc<StateDurabilityBoundary>>`	RESIDUE	unclassified_pair: StateDurabilityBoundary | Vector<Rc<StateDurabilityBoundary>>	03_ingest
src/std_state_durability.rs	877	59	Rc<StateDurabilityEvidence<Target, ...>>	Rc<Vector<Rc<...>>>	expected `Rc<StateDurabilityEvidence<Target, ...>>`, found `Rc<Vector<Rc<...>>>`	RESIDUE	unclassified_pair: Rc<StateDurabilityEvidence<Target, ...>> | Rc<Vector<Rc<...>>>	03_ingest
src/v2_compiler_body_lowering_fold.rs	2348	86	OccurrenceId	Rc<NodeOccurrenceId>	expected `OccurrenceId`, found `Rc<NodeOccurrenceId>`	RESIDUE	unclassified_pair: OccurrenceId | Rc<NodeOccurrenceId>	05_emit
src/v2_compiler_body_lowering_fold.rs	3013	13	Rc<Outcome<Option<Rc<Node>>>>	Rc<Outcome<Rc<Node>>>	expected `Rc<Outcome<Option<Rc<Node>>>>`, found `Rc<Outcome<Rc<Node>>>`	RESIDUE	unclassified_pair: Rc<Outcome<Option<Rc<Node>>>> | Rc<Outcome<Rc<Node>>>	05_emit
src/v2_compiler_compile.rs	284	82	Witness<Rc<Node>>	Witness<Rc<Outcome<Rc<Witness<...>>>>>	expected `Witness<Rc<Node>>`, found `Witness<Rc<Outcome<Rc<Witness<...>>>>>`	RESIDUE-witness	witness_parametrization_tail	03_ingest
src/v2_compiler_emit_host.rs	112	17	Rc<Correction>	Option<_>	expected `Rc<Correction>`, found `Option<_>`	C	correction_optional_collapse	emit_host
src/v2_compiler_emit_host.rs	120	17	Rc<Correction>	Option<_>	expected `Rc<Correction>`, found `Option<_>`	C	correction_optional_collapse	emit_host
src/v2_compiler_emit_host.rs	128	17	Rc<Correction>	Option<_>	expected `Rc<Correction>`, found `Option<_>`	C	correction_optional_collapse	emit_host
src/v2_compiler_emit_host.rs	136	17	Rc<Correction>	Option<_>	expected `Rc<Correction>`, found `Option<_>`	C	correction_optional_collapse	emit_host
src/v2_compiler_emit_host.rs	144	17	Rc<Correction>	Option<_>	expected `Rc<Correction>`, found `Option<_>`	C	correction_optional_collapse	emit_host
src/v2_compiler_emit_host.rs	248	37	Rc<ContentHash>	Rc<Fnv1a64Structural>	expected `Rc<ContentHash>`, found `Rc<Fnv1a64Structural>`	RESIDUE	unclassified_pair: Rc<ContentHash> | Rc<Fnv1a64Structural>	emit_host
src/v2_compiler_emit_host.rs	269	21	Rc<Fnv1a64Structural>	Rc<ContentHash>	expected `Rc<Fnv1a64Structural>`, found `Rc<ContentHash>`	RESIDUE	unclassified_pair: Rc<Fnv1a64Structural> | Rc<ContentHash>	emit_host
