root	module	authority_symbol	normalized_relation
A-clone	std.realization_reconcile	Reconciliation	A -> &A
A-clone	std.realization_reconcile	Reconciliation	_ -> &_
A-clone	v2.extdeps.languages.fidelity	FidelityDisposition	Feature -> &Feature
A-clone	v2.extdeps.languages.fidelity	FidelityDisposition	_ -> &_
A-clone	v2.std.algebra	ListHeadResult	T -> &T
A-clone	v2.std.algebra	ListHeadResult	_ -> &_
A-clone	v2.std.node_query	CoproductNullaryInhabitantLookup	T -> &T
A-clone	v2.std.node_query	CoproductNullaryInhabitantLookup	_ -> &_
A-clone	v2.std.passing_candidate_fold	PassingCandidateFold	T -> &T
A-clone	v2.std.passing_candidate_fold	PassingCandidateFold	_ -> &_
A-clone	v2.std.staging	CacheProbe	B -> &B
A-clone	v2.std.staging	CacheProbe	_ -> &_
ARG-ORDER	v2.compiler.eval	eval_computation_node	 -> 
ARG-ORDER	v2.compiler.eval	eval_computation_node	Rc<EvaluationEnvironment> -> Rc<InferredTree>
ARG-ORDER	v2.compiler.eval	eval_computation_node	Rc<InferredFacts> -> Rc<EvaluationEnvironment>
ARG-ORDER	v2.compiler.eval	eval_computation_node	Rc<InferredTree> -> Rc<Vector<Rc<RuntimeValue>>>
ARG-ORDER	v2.compiler.eval	eval_computation_node	Rc<RuntimeBehaviorInterpreter> -> Rc<InferredFacts>
ARG-ORDER	v2.compiler.eval	eval_computation_node	Rc<Vector<Rc<RuntimeValue>>> -> Rc<RuntimeBehaviorInterpreter>
ARG-ORDER	v2.compiler.eval	eval_runtime_control_node	 -> 
B2	v2.std.logic	bool_boolean_algebra	Bool -> False
B2	v2.std.logic	bool_boolean_algebra	Bool -> True
B3	v2.std.integer	integer_nat_decimal_digit_char	Rc<Nat> -> {integer}
B3	v2.std.integer	integer_nat_to_decimal_string	Rc<Nat> -> {integer}
BOX-WRAP	v2.std.text	string_head	i64 -> Box<i64>
C	v2.lens.complexity_lowering	cost_class_is_lowerable	Rc<ComplexityLowering> -> ()
C	v2.lens.complexity_lowering	lowering_catalog	Vector<()> -> Vector<Rc<ComplexityLowering>>
