file	line	col	expected	found	delta	root	reason	carrier_flags	callee	callee_kind	block_msg
src/v2_extdeps_languages_fidelity.rs	27	79	Feature	&Feature	generic_arg+borrowed	A-clone	generic_param_clone_bound_absent				mismatched types
src/v2_extdeps_languages_fidelity.rs	27	79	_	&_	generic_arg+borrowed	A-clone	generic_param_clone_bound_absent				mismatched types
src/v2_lens_complexity_accumulator_copy_analyze.rs	125	116	Rc<Edge>	Edge	rc_depth	R1	rc_wrap_only		src/v2_lens_complexity_accumulator_copy_analyze.rs:99:8	function defined here	mismatched types
src/v2_lens_complexity_accumulator_copy_analyze.rs	485	80	Vector<PortReading>	Vector<Rc<PortReading>>	generic_arg+container	R1	rc_wrap_at_type_argument_depth				mismatched types
src/v2_lens_complexity_accumulator_copy_analyze.rs	479	72	Rc<Vector<Rc<PortReading>>>	Rc<Vector<PortReading>>	generic_arg+container	R1	rc_wrap_at_type_argument_depth				mismatched types
src/v2_lens_complexity_accumulator_copy_analyze.rs	696	15	Rc<Vector<Finding>>	Rc<Vector<Rc<Finding>>>	generic_arg+container	R1	rc_wrap_at_type_argument_depth				mismatched types
src/v2_lens_complexity_lowering.rs	48	13	Vector<()>	Vector<Rc<ComplexityLowering>>	generic_arg+container	C	carrier_collapses_to_unit	generic_param_unit_on_one_side			mismatched types
src/v2_lens_complexity_lowering.rs	60	104	Rc<ComplexityLowering>	()	rc_depth+nominal	C	carrier_collapses_to_unit		src/v2_lens_complexity_lowering.rs:55:8	function defined here	mismatched types
src/v2_lens_complexity_lowering.rs	68	107	Rc<ComplexityLowering>	()	rc_depth+nominal	C	carrier_collapses_to_unit		src/v2_lens_complexity_lowering.rs:55:8	function defined here	mismatched types
src/v2_lens_coverage.rs	52	21	Coverage<Rc<CoverageDefectAcceptanceKey>>	CoverageDefectAcceptanceKey	nominal	D	alias_arity_generic_argument_count		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_lens_coverage.rs	63	21	Coverage<Rc<CoverageDefectAcceptanceKey>>	CoverageDefectAcceptanceKey	nominal	D	alias_arity_generic_argument_count		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_lens_coverage.rs	74	21	Coverage<Rc<CoverageDefectAcceptanceKey>>	CoverageDefectAcceptanceKey	nominal	D	alias_arity_generic_argument_count		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_lens_coverage.rs	85	21	Coverage<Rc<CoverageDefectAcceptanceKey>>	CoverageDefectAcceptanceKey	nominal	D	alias_arity_generic_argument_count		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
