file	line	col	signature	operand_types	classification	reason	entry_example	code_line
src/std_cache_interface.rs	88	9	binary operation `==` cannot be applied to type `&Rc<Measure<(), (), Rc<CommutativeSemiring<Magnitude>>>>`	&Rc<Measure<(), (), Rc<CommutativeSemiring<Magnitude>>>>	repr_fork	derive_expansion: PartialEq on algebra-carrier record under FaithfulFreeMonoid	materialization_carriers	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
src/std_cache_interface.rs	505	5	binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<CommutativeSemiring<Magnitude>>>>`	Rc<Measure<(), (), Rc<CommutativeSemiring<Magnitude>>>>	repr_fork	derive_expansion: PartialEq on algebra-carrier record under FaithfulFreeMonoid	materialization_carriers	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
src/std_cache_interface.rs	506	5	binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<CommutativeSemiring<Magnitude>>>>`	Rc<Measure<(), (), Rc<CommutativeSemiring<Magnitude>>>>	repr_fork	derive_expansion: PartialEq on algebra-carrier record under FaithfulFreeMonoid	materialization_carriers	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
src/std_cache_interface.rs	507	5	binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<CommutativeSemiring<Magnitude>>>>`	Rc<Measure<(), (), Rc<CommutativeSemiring<Magnitude>>>>	repr_fork	derive_expansion: PartialEq on algebra-carrier record under FaithfulFreeMonoid	materialization_carriers	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
src/std_cache_interface.rs	541	56	binary operation `>=` cannot be applied to type `Rc<CommutativeSemiring<Magnitude>>`	Rc<CommutativeSemiring<Magnitude>>	repr_fork	expr_binop: arithmetic/compare on modeled algebra carrier (FaithfulFreeMonoid)	materialization_carriers	(nanosecond_duration_count(recompute.time.clone()) >= nanosecond_duration_count(read_latency_cost(cache_facts_for_id(id.clone(), catalog.clone()))))
src/std_measure.rs	99	13	cannot multiply `Rc<CommutativeSemiring<Magnitude>>` by `Rc<CommutativeSemiring<Magnitude>>`		repr_fork	expr_binop: arithmetic/compare on modeled algebra carrier (FaithfulFreeMonoid)	materialization_carriers	((k.clone() * k.clone()) * k.clone())
src/std_measure.rs	100	13	cannot multiply `Rc<Rc<CommutativeSemiring<Magnitude>>>` by `Rc<Rc<CommutativeSemiring<Magnitude>>>`		repr_fork	expr_binop: arithmetic/compare on modeled algebra carrier (FaithfulFreeMonoid)	emit_host	((k.clone() * k.clone()) * k.clone())
src/std_measure.rs	146	40	cannot multiply `Rc<CommutativeSemiring<Magnitude>>` by `Rc<CommutativeSemiring<Magnitude>>`		repr_fork	expr_binop: arithmetic/compare on modeled algebra carrier (FaithfulFreeMonoid)	materialization_carriers	Scale::Mebi => Some((kibi_factor() * kibi_factor())),
src/std_measure.rs	147	40	cannot multiply `Rc<Rc<CommutativeSemiring<Magnitude>>>` by `Rc<Rc<CommutativeSemiring<Magnitude>>>`		repr_fork	expr_binop: arithmetic/compare on modeled algebra carrier (FaithfulFreeMonoid)	emit_host	Scale::Mebi => Some((kibi_factor() * kibi_factor())),
src/std_measure.rs	148	56	cannot multiply `Rc<CommutativeSemiring<Magnitude>>` by `Rc<CommutativeSemiring<Magnitude>>`		repr_fork	expr_binop: arithmetic/compare on modeled algebra carrier (FaithfulFreeMonoid)	materialization_carriers	Scale::Tebi => Some((gibibyte_scale_factor_bytes() * kibi_factor())),
src/std_measure.rs	149	56	cannot multiply `Rc<Rc<CommutativeSemiring<Magnitude>>>` by `Rc<Rc<CommutativeSemiring<Magnitude>>>`		repr_fork	expr_binop: arithmetic/compare on modeled algebra carrier (FaithfulFreeMonoid)	emit_host	Scale::Tebi => Some((gibibyte_scale_factor_bytes() * kibi_factor())),
src/std_measure.rs	177	28	binary operation `==` cannot be applied to type `Rc<CommutativeSemiring<Magnitude>>`	Rc<CommutativeSemiring<Magnitude>>	repr_fork	expr_binop: arithmetic/compare on modeled algebra carrier (FaithfulFreeMonoid)	materialization_carriers	count: if (den.clone() == 0) {
src/std_measure.rs	178	28	binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	Rc<Rc<CommutativeSemiring<Magnitude>>>	repr_fork	expr_binop: arithmetic/compare on modeled algebra carrier (FaithfulFreeMonoid)	emit_host	count: if (den.clone() == 0) {
src/std_measure.rs	180	30	cannot multiply `CommutativeSemiring<Magnitude>` by `Rc<CommutativeSemiring<Magnitude>>`		repr_fork	expr_binop: arithmetic/compare on modeled algebra carrier (FaithfulFreeMonoid)	materialization_carriers	(((*m.count).clone() * num.clone()) / den.clone())
