message	path	line	col	left	right	single	code
binary operation `<` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_nat.rs	17	19			Rc<Rc<CommutativeSemiring<Magnitude>>>	if (a.clone() < b.clone()) {
binary operation `>` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_nat.rs	20	23			Rc<Rc<CommutativeSemiring<Magnitude>>>	if (a.clone() > b.clone()) {
binary operation `>` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_nat.rs	29	19			Rc<Rc<CommutativeSemiring<Magnitude>>>	if (a.clone() > b.clone()) {
binary operation `<` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_nat.rs	37	19			Rc<Rc<CommutativeSemiring<Magnitude>>>	if (a.clone() < b.clone()) {
binary operation `==` cannot be applied to type `Rc<im::Vector<T>>`	src/v2_std_algebra.rs	48	5			Rc<im::Vector<T>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `&Rc<im::Vector<T>>`	src/v2_std_algebra.rs	91	9			&Rc<im::Vector<T>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
cannot multiply `Rc<Rc<CommutativeSemiring<Magnitude>>>` by `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_measure.rs	100	13				((k.clone() * k.clone()) * k.clone())
cannot multiply `Rc<Rc<CommutativeSemiring<Magnitude>>>` by `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_measure.rs	147	40				Scale::Mebi => Some((kibi_factor() * kibi_factor())),
cannot multiply `Rc<Rc<CommutativeSemiring<Magnitude>>>` by `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_measure.rs	149	56				Scale::Tebi => Some((gibibyte_scale_factor_bytes() * kibi_factor())),
binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_measure.rs	178	28			Rc<Rc<CommutativeSemiring<Magnitude>>>	count: if (den.clone() == 0) {
cannot multiply `Rc<CommutativeSemiring<Magnitude>>` by `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_measure.rs	181	30				(((*m.count).clone() * num.clone()) / den.clone())
binary operation `==` cannot be applied to type `Rc<CommutativeSemiring<Magnitude>>`	src/std_measure.rs	190	24			Rc<CommutativeSemiring<Magnitude>>	if (each_count.clone() == 0) {
cannot divide `Rc<CommutativeSemiring<Magnitude>>` by `Rc<CommutativeSemiring<Magnitude>>`	src/std_measure.rs	193	40				((*capacity.count).clone() / each_count.clone())
binary operation `==` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_measure.rs	200	28			Rc<Rc<CommutativeSemiring<Magnitude>>>	count: if (den.clone() == 0) {
cannot multiply `Rc<CommutativeSemiring<Magnitude>>` by `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_measure.rs	201	29				((*m.count).clone() * num.clone())
cannot multiply `Rc<CommutativeSemiring<Magnitude>>` by `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_measure.rs	203	31				((((*m.count).clone() * num.clone()) + (den.clone() - 1)) / den.clone())
cannot subtract `{integer}` from `Rc<Rc<CommutativeSemiring<Magnitude>>>`	src/std_measure.rs	203	61				((((*m.count).clone() * num.clone()) + (den.clone() - 1)) / den.clone())
cannot add `Rc<CommutativeSemiring<Magnitude>>` to `Rc<CommutativeSemiring<Magnitude>>`	src/std_measure.rs	211	32				count: ((*a.count).clone() + (*b.count).clone()),
