witness_qualified	witness_module	failure_class	error_message	reference_bare_name	selected_decl_module	selected_decl_params	candidate_decl_modules	scope_module_count	scope_ambiguous_bare_names
test.claim.accelerator_demo_execution_witness.accelerator_demo_execution_lane_witnesses	test.claim.accelerator_demo_execution_witness	undefined_variable	undefined variable: LocalAccelerator	LocalAccelerator				916	98
test.claim.accelerator_demo_model_witness.accelerator_demo_modeling_lane_witnesses	test.claim.accelerator_demo_model_witness	undefined_variable	undefined variable: LocalAccelerator	LocalAccelerator				910	97
test.claim.altra_contact_map_witness.w_ingested_contact_map_admits_at_declared_population	test.claim.altra_contact_map_witness	other	eval budget exceeded: 504ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					913	84
test.claim.altra_contact_map_witness.w_classified_population_cross_foots_pin_summary	test.claim.altra_contact_map_witness	other	exceeded Cpu budget (502ms elapsed against 500ms)					913	84
test.claim.altra_contact_map_witness.w_differential_pairs_are_complete_in_the_ingested_map	test.claim.altra_contact_map_witness	other	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.					913	84
test.claim.artifact_store_witness.store_hit_and_stale_never_served_holds	test.claim.artifact_store_witness	call_contract_mismatch	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared	admitted	test.claim.compute_board_pin_chain_witness		test.claim.compute_board_pin_chain_witness	906	59
test.claim.artifact_store_witness.store_budget_evicts_least_recent_counted_holds	test.claim.artifact_store_witness	call_contract_mismatch	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared	admitted	test.claim.compute_board_pin_chain_witness		test.claim.compute_board_pin_chain_witness	906	59
test.claim.artifact_store_witness.store_no_eviction_under_budget_holds	test.claim.artifact_store_witness	call_contract_mismatch	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared	admitted	test.claim.compute_board_pin_chain_witness		test.claim.compute_board_pin_chain_witness	906	59
test.claim.artifact_store_witness.store_put_oversized_artifact_preserves_warm_rows_holds	test.claim.artifact_store_witness	call_contract_mismatch	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared	admitted	test.claim.compute_board_pin_chain_witness		test.claim.compute_board_pin_chain_witness	906	59
test.claim.artifact_store_witness.store_put_artifact_exactly_at_budget_is_admitted_holds	test.claim.artifact_store_witness	call_contract_mismatch	call contract mismatch calling 'admitted': too many positional arguments: 2 supplied, 0 positional parameter(s) declared	admitted	test.claim.compute_board_pin_chain_witness		test.claim.compute_board_pin_chain_witness	906	59
test.claim.board_part_land_pattern_witness.w_no_candidate_is_admissible_and_indexing_is_the_only_reason	test.claim.board_part_land_pattern_witness	other	non-exhaustive pattern match on: TerminalIndexingUnestablished { what_is_missing: the pin-one location, the numbering direction, the top-versus-bottom view convention the drawing is stated in, the terminal-to-land identity relation and the electrical role of any exposed pad, for package DBV0006A. None of those were transcribed and this repository carries no pin-map model to receive them, so this candidate cannot be admitted for footprint realization and a consumer cannot mistake matching counts and pitch for a known pin map }					928	63
test.claim.budget_tree_witness.witness_tree_conservation_recursive	test.claim.budget_tree_witness	call_contract_mismatch	call contract mismatch calling 'child_node': no parameter named 'cap' (declared: [name, b])	child_node	gunbc.fleet_host_budget	name, b	gunbc.fleet_host_budget|test.claim.budget_tree_witness|test.claim.roadmap_document|test.claim.roadmap_emit	910	83
test.claim.budget_tree_witness.witness_divide_once	test.claim.budget_tree_witness	call_contract_mismatch	call contract mismatch calling 'child_node': no parameter named 'cap' (declared: [name, b])	child_node	gunbc.fleet_host_budget	name, b	gunbc.fleet_host_budget|test.claim.budget_tree_witness|test.claim.roadmap_document|test.claim.roadmap_emit	910	83
test.claim.build_artifact_corruption_probe_witness.build_artifact_corruption_probe_holds	test.claim.build_artifact_corruption_probe_witness	other	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit					90	1
test.claim.build_artifact_corruption_probe_witness.witness_bin_readiness_arms_are_discriminating	test.claim.build_artifact_corruption_probe_witness	other	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit					90	1
test.claim.ci_deploy_target_host_witness.witness_deploy_stage_pins_srv1_runner_label	test.claim.ci_deploy_target_host_witness	no_such_function	no such function: gunbc_ci_deploy_srv1_stage	gunbc_ci_deploy_srv1_stage				910	97
