module	manifestations	distinct_codes	shim_board	classified	histogram
00_compile	329	18	False	61	E0308:148 E0425:24 E0599:23 E0004:21 E0277:18 E0609:18 E0061:17 E0560:17 E0631:9 E0433:8 E0282:6 E0369:6 E0614:5 E0071:3 E0728:2 E0310:2 E0223:1 E0533:1
01_tokenize	19	5	False	4	E0599:8 E0308:5 E0277:4 E0425:1 E0560:1
02_parse	141	11	False	41	E0308:71 E0004:19 E0560:9 E0609:9 E0277:7 E0599:5 E0061:5 E0425:4 E0369:4 E0282:4 E0614:4
03_body_producer	17	5	True	15	E0432:8 E0433:5 E0308:2 E0282:1 E0599:1
03_ingest	330	18	False	61	E0308:148 E0425:24 E0599:23 E0004:21 E0277:18 E0609:18 E0061:17 E0560:17 E0631:9 E0433:8 E0282:6 E0369:6 E0614:6 E0071:3 E0728:2 E0310:2 E0223:1 E0533:1
03_normalize	198	10	True	52	E0308:54 E0599:49 E0432:31 E0433:23 E0608:16 E0277:14 E0282:5 E0425:2 E0369:2 E0004:2
03_resolve	96	11	False	30	E0308:43 E0004:19 E0560:7 E0599:5 E0609:5 E0369:4 E0277:4 E0614:4 E0425:3 E0282:1 E0061:1
04_infer	106	11	False	34	E0308:49 E0004:19 E0560:9 E0277:6 E0599:5 E0609:5 E0369:4 E0614:4 E0425:3 E0282:1 E0061:1
07_target_carriers	82	10	False	23	E0308:46 E0004:17 E0369:4 E0277:4 E0614:4 E0425:2 E0560:2 E0599:1 E0282:1 E0061:1
discovery_enumeration	2	2	False	0	E0425:1 E0599:1
materialization_carriers	20	4	False	11	E0308:9 E0599:5 E0425:3 E0277:3
parse_engine_hooks	10	3	True	9	E0432:5 E0433:4 E0599:1
program_partition	131	13	False	36	E0308:53 E0004:19 E0609:12 E0560:9 E0282:7 E0277:6 E0599:5 E0425:4 E0392:4 E0369:4 E0614:4 E0071:3 E0061:1
source_authority	195	14	False	46	E0308:87 E0004:19 E0599:17 E0609:17 E0425:12 E0560:12 E0277:7 E0061:6 E0369:4 E0282:4 E0614:4 E0071:3 E0728:2 E0223:1
use_site_verdict	33	6	True	27	E0432:16 E0433:9 E0277:4 E0308:2 E0599:1 E0282:1
