module	self_emit_ready	blocker_class	located_stage	located_reason	probe_error
src/v2/compiler/materialization_carriers.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/04_infer.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/05_eval.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/06_translate.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/05_emit.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/program_partition.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/02_parse.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/source_authority.dag	no	NameResolutionGap	ProbeStageAssemble	^resolve_module_not_found	
src/v2/compiler/00_compile.dag	no	NameResolutionGap	ProbeStageAssemble	^resolve_module_not_found	
src/v2/compiler/03_ingest.dag	no	NameResolutionGap	ProbeStageAssemble	^resolve_module_not_found	
src/v2/compiler/parse_engine_hooks.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/use_site_verdict.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/discovery_enumeration.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/01_tokenize.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/self_host.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/07_target_carriers.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
src/v2/compiler/fold_lowering.dag	no	RealizationGap	ProbeStageAssemble	^parse_grammar_choice_overlap_residue	
