label	root4_measure_missing_generics_parent_child
classifier_stamp	full-coded-and-uncoded-histogram-v1
protocol	CSSL_STD_SEED_LINK=1; one empty shim; docs/probes/curated_cargo_probe_one.sh; fresh temp crate per module; one stamped gunbc and cssl_assemble binary per seven-module sweep; retained full cargo logs
parent_git_sha	9a112a30975be5b8e0203b4d2216459572b3c818
parent_gunbc_sha256	1380ec700e49d3378230831f0d84a8d0bd6a65c143cdc4a3c2143f2617a40df2
parent_cssl_assemble_sha256	2cd17c5040afb470ea3af631d5d773e5e7028c4691341b50187d186abfee3720
child_probe_tree_sha	41e5ce2b4678a5db2a6c39bfd85b9d3e9b512452
child_emitter_change_sha	c8e1a23a8190e06efea3a75aa7f2949478e971ac
child_gunbc_sha256	0019ffa282960ad36283866626c7fed9c3ece90d1e3ae0b21ba699ec194691c0
child_cssl_assemble_sha256	2cd17c5040afb470ea3af631d5d773e5e7028c4691341b50187d186abfee3720
phase	module	cargo	total_errors	distinct_live_root_families	residual_histogram
BEFORE	src/v2/compiler/06_translate.dag	refuse	386	unclassified	error[E0308]:114 error[E0599]:93 error[E0277]:76 error[E0063]:18 error[E0369]:14 error[E0107]:13 error[E0597]:13 error[E0282]:9 error[E0609]:6 error[E0614]:3 error[E0392]:2 error[E0004]:1 error[E0061]:1 error[E0560]:1 uncoded_unreachable_pattern:21 uncoded_UNRESOLVED_CompilerError:1
BEFORE	src/v2/compiler/04_infer.dag	refuse	346	unclassified	error[E0308]:91 error[E0599]:88 error[E0277]:75 error[E0063]:18 error[E0369]:14 error[E0107]:13 error[E0282]:9 error[E0609]:6 error[E0597]:5 error[E0614]:3 error[E0392]:2 error[E0004]:1 error[E0061]:1 error[E0560]:1 uncoded_unreachable_pattern:18 uncoded_UNRESOLVED_CompilerError:1
BEFORE	src/v2/compiler/05_eval.dag	refuse	431	unclassified	error[E0308]:117 error[E0599]:91 error[E0277]:81 error[E0369]:29 error[E0614]:22 error[E0063]:20 error[E0107]:18 error[E0282]:9 error[E0597]:8 error[E0609]:6 error[E0310]:2 error[E0392]:2 error[E0560]:2 error[E0004]:1 error[E0061]:1 error[E0271]:1 uncoded_unreachable_pattern:20 uncoded_UNRESOLVED_CompilerError:1
BEFORE	src/v2/compiler/05_emit.dag	refuse	386	unclassified	error[E0308]:114 error[E0599]:93 error[E0277]:76 error[E0063]:18 error[E0369]:14 error[E0107]:13 error[E0597]:13 error[E0282]:9 error[E0609]:6 error[E0614]:3 error[E0392]:2 error[E0004]:1 error[E0061]:1 error[E0560]:1 uncoded_unreachable_pattern:21 uncoded_UNRESOLVED_CompilerError:1
BEFORE	src/v2/compiler/emit_host.dag	refuse	649	unclassified	error[E0308]:203 error[E0277]:129 error[E0599]:96 error[E0369]:81 error[E0107]:31 error[E0614]:22 error[E0063]:20 error[E0597]:16 error[E0282]:9 error[E0609]:6 error[E0310]:2 error[E0392]:2 error[E0425]:2 error[E0560]:2 error[E0004]:1 error[E0061]:1 error[E0271]:1 uncoded_unreachable_pattern:24 uncoded_UNRESOLVED_CompilerError:1
BEFORE	src/v2/compiler/emit_module.dag	refuse	394	unclassified	error[E0308]:122 error[E0599]:93 error[E0277]:76 error[E0063]:18 error[E0369]:14 error[E0107]:13 error[E0597]:13 error[E0282]:9 error[E0609]:6 error[E0614]:3 error[E0392]:2 error[E0004]:1 error[E0061]:1 error[E0560]:1 uncoded_unreachable_pattern:21 uncoded_UNRESOLVED_CompilerError:1
BEFORE	src/v2/compiler/materialization_carriers.dag	refuse	328	18	error[E0277]:90 error[E0599]:81 error[E0308]:78 error[E0369]:62 error[E0107]:13 error[E0061]:2 error[E0282]:1 uncoded_unreachable_pattern:1 uncoded_UNRESOLVED_CompilerError:0
AFTER	src/v2/compiler/06_translate.dag	refuse	385	unclassified	error[E0308]:114 error[E0599]:93 error[E0277]:76 error[E0063]:18 error[E0369]:14 error[E0597]:13 error[E0107]:12 error[E0282]:9 error[E0609]:6 error[E0614]:3 error[E0392]:2 error[E0004]:1 error[E0061]:1 error[E0560]:1 uncoded_unreachable_pattern:21 uncoded_UNRESOLVED_CompilerError:1
AFTER	src/v2/compiler/04_infer.dag	refuse	345	unclassified	error[E0308]:91 error[E0599]:88 error[E0277]:75 error[E0063]:18 error[E0369]:14 error[E0107]:12 error[E0282]:9 error[E0609]:6 error[E0597]:5 error[E0614]:3 error[E0392]:2 error[E0004]:1 error[E0061]:1 error[E0560]:1 uncoded_unreachable_pattern:18 uncoded_UNRESOLVED_CompilerError:1
AFTER	src/v2/compiler/05_eval.dag	refuse	427	unclassified	error[E0308]:117 error[E0599]:91 error[E0277]:81 error[E0369]:29 error[E0614]:22 error[E0063]:20 error[E0107]:14 error[E0282]:9 error[E0597]:8 error[E0609]:6 error[E0310]:2 error[E0392]:2 error[E0560]:2 error[E0004]:1 error[E0061]:1 error[E0271]:1 uncoded_unreachable_pattern:20 uncoded_UNRESOLVED_CompilerError:1
AFTER	src/v2/compiler/05_emit.dag	refuse	385	unclassified	error[E0308]:114 error[E0599]:93 error[E0277]:76 error[E0063]:18 error[E0369]:14 error[E0597]:13 error[E0107]:12 error[E0282]:9 error[E0609]:6 error[E0614]:3 error[E0392]:2 error[E0004]:1 error[E0061]:1 error[E0560]:1 uncoded_unreachable_pattern:21 uncoded_UNRESOLVED_CompilerError:1
AFTER	src/v2/compiler/emit_host.dag	refuse	637	unclassified	error[E0308]:205 error[E0277]:129 error[E0599]:96 error[E0369]:81 error[E0614]:22 error[E0063]:20 error[E0107]:17 error[E0597]:16 error[E0282]:9 error[E0609]:6 error[E0310]:2 error[E0392]:2 error[E0425]:2 error[E0560]:2 error[E0004]:1 error[E0061]:1 error[E0271]:1 uncoded_unreachable_pattern:24 uncoded_UNRESOLVED_CompilerError:1
