file	line	col	expected	found	coded_root	expected_route	found_route	carrier	verdict	reason
src/std_state_durability.rs	152	65	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>	T3	UNROUTED	AI:FreeMonoid		other-mechanism:RT-builtin	v1_rt::append(list,item) intercepts the corpus FreeMonoid concat; the pair is element-vs-carrier, not carrier-vs-carrier
src/std_state_durability.rs	163	70	Rc<StateDurabilityBoundary>	Rc<Vector<Rc<StateDurabilityBoundary>>>	T3	UNROUTED	AI:FreeMonoid		other-mechanism:RT-builtin	v1_rt::append(list,item) intercepts the corpus FreeMonoid concat; the pair is element-vs-carrier, not carrier-vs-carrier
src/std_state_durability.rs	291	152	StateDefinitionCallerAssertion	Vector<Rc<...>>	T3	UNROUTED	AI:FreeMonoid		other-mechanism:RT-builtin	v1_rt::append(list,item) intercepts the corpus FreeMonoid concat; the pair is element-vs-carrier, not carrier-vs-carrier
src/std_state_durability.rs	636	59	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>	T3	UNROUTED	AI:FreeMonoid		other-mechanism:RT-builtin	v1_rt::append(list,item) intercepts the corpus FreeMonoid concat; the pair is element-vs-carrier, not carrier-vs-carrier
src/std_state_durability.rs	878	59	Rc<StateDurabilityEvidence<Target, ...>>	Rc<Vector<Rc<...>>>	T3	UNROUTED	AI:FreeMonoid		other-mechanism:RT-builtin	v1_rt::append(list,item) intercepts the corpus FreeMonoid concat; the pair is element-vs-carrier, not carrier-vs-carrier
src/v2_compiler_eval.rs	642	13	HashMap<Rc<EnvironmentBindingKey>, ...>	Rc<PartialFunction<_, _>>	T3	AI:PartialFunction	SR:PartialFunction	Map<K,V> = PartialFunction<K,V>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_infer.rs	164	20	HashMap<Rc<Node>, Rc<InferredFacts>>	Rc<PartialFunction<_, _>>	T3	AI:PartialFunction	SR:PartialFunction	Map<K,V> = PartialFunction<K,V>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_infer.rs	511	20	HashMap<Rc<Node>, Rc<InferredFacts>>	Rc<PartialFunction<_, _>>	T3	AI:PartialFunction	SR:PartialFunction	Map<K,V> = PartialFunction<K,V>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_parse.rs	571	27	OrdSet<String>	Rc<PointwisePower<_>>	T3	AI:PointwisePower	SR:PointwisePower	Set<T> = PointwisePower<T>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_parse.rs	1033	13	OrdSet<String>	Rc<PointwisePower<_>>	T3	AI:PointwisePower	SR:PointwisePower	Set<T> = PointwisePower<T>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_parse.rs	1095	53	OrdSet<String>	Rc<PointwisePower<_>>	T3	AI:PointwisePower	SR:PointwisePower	Set<T> = PointwisePower<T>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_resolve.rs	145	13	OrdSet<String>	Rc<PointwisePower<_>>	T3	AI:PointwisePower	SR:PointwisePower	Set<T> = PointwisePower<T>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	145	15	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	146	11	Rc<Vector<i64>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	157	16	String	Rc<Vector<i64>>	T2	CP:String	AI:FreeMonoid	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	198	16	String	Rc<Vector<i64>>	T2	CP:String	AI:FreeMonoid	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	199	13	String	Rc<Vector<i64>>	T2	CP:String	AI:FreeMonoid	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	228	13	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	228	13	String	Rc<Vector<_>>	T2	CP:String	AI:FreeMonoid	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	228	25	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	251	13	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	251	13	String	Rc<Vector<_>>	T2	CP:String	AI:FreeMonoid	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	251	25	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	272	13	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	272	13	String	Rc<Vector<_>>	T2	CP:String	AI:FreeMonoid	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	272	25	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	297	13	String	Rc<Vector<_>>	T2	CP:String	AI:FreeMonoid	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	340	13	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	340	13	String	Rc<Vector<_>>	T2	CP:String	AI:FreeMonoid	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	340	25	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	362	13	String	Rc<Vector<_>>	T2	CP:String	AI:FreeMonoid	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	370	13	String	Rc<Vector<_>>	T2	CP:String	AI:FreeMonoid	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	465	57	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	466	58	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	467	62	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	561	99	Rc<Vector<i64>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	562	36	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	588	36	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	591	99	Rc<Vector<i64>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	592	36	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	620	36	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	622	99	Rc<Vector<i64>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	623	36	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_compiler_tokenize.rs	685	43	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_extdeps_languages_dag.rs	1218	13	OrdSet<String>	Rc<PointwisePower<_>>	T3	AI:PointwisePower	SR:PointwisePower	Set<T> = PointwisePower<T>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_extdeps_languages_dag.rs	1224	13	OrdSet<String>	Rc<PointwisePower<_>>	T3	AI:PointwisePower	SR:PointwisePower	Set<T> = PointwisePower<T>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_extdeps_languages_dag.rs	1234	13	OrdSet<String>	Rc<PointwisePower<_>>	T3	AI:PointwisePower	SR:PointwisePower	Set<T> = PointwisePower<T>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_extdeps_languages_llvm_ir.rs	1134	13	HashMap<String, Rc<Node>>	Rc<PartialFunction<_, _>>	T3	AI:PartialFunction	SR:PartialFunction	Map<K,V> = PartialFunction<K,V>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_extdeps_languages_llvm_ir.rs	1179	13	HashMap<String, Rc<Node>>	Rc<PartialFunction<_, _>>	T3	AI:PartialFunction	SR:PartialFunction	Map<K,V> = PartialFunction<K,V>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_extdeps_runtimes_v2_effect_io_pure.rs	118	23	HashMap<Rc<EnvironmentBindingKey>, ...>	Rc<PartialFunction<_, _>>	T3	AI:PartialFunction	SR:PartialFunction	Map<K,V> = PartialFunction<K,V>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_extdeps_runtimes_v2_evaluator.rs	160	13	HashMap<Rc<EnvironmentBindingKey>, ...>	Rc<PartialFunction<_, _>>	T3	AI:PartialFunction	SR:PartialFunction	Map<K,V> = PartialFunction<K,V>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_lens_complexity_lowering.rs	48	13	Vector<()>	Vector<Rc<ComplexityLowering>>	T3	AI:FreeMonoid	AI:FreeMonoid		other-mechanism:C	both sides AI:FreeMonoid; they differ only at the element, () vs Rc<ComplexityLowering>
src/v2_std_collection.rs	93	13	HashMap<K, V>	Rc<PartialFunction<_, _>>	T3	AI:PartialFunction	SR:PartialFunction	Map<K,V> = PartialFunction<K,V>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_std_compilers_target_model.rs	500	14	Rc<Vector<_>>	String	T2	AI:FreeMonoid	CP:String	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_std_compilers_target_model.rs	6056	5	Rc<Rc<PartialFunction<String, Rc<...>>>>	Rc<HashMap<_, _>>	T3	SR:PartialFunction	AI:PartialFunction	Map<K,V> = PartialFunction<K,V>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_std_fold_assembly.rs	258	38	Rc<Outcome<Rc<Vector<Rc<Vector<...>>>>>>	Rc<Outcome<Rc<Vector<Rc<Node>>>>>	T3	UNROUTED	UNROUTED		other-mechanism:nesting-depth	both sides Rc<Outcome<Rc<Vector<..>>>>; they differ only in element nesting depth
src/v2_std_integer.rs	1151	5	String	Rc<Vector<i64>>	T2	CP:String	AI:FreeMonoid	String = FreeMonoid<Char>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_std_language_model.rs	44	13	OrdSet<String>	Rc<PointwisePower<_>>	T3	AI:PointwisePower	SR:PointwisePower	Set<T> = PointwisePower<T>	shared-root	one carrier, two realization authorities, selected by reference position
src/v2_std_model_core.rs	245	13	HashMap<String, Rc<Node>>	Rc<PartialFunction<_, _>>	T3	AI:PartialFunction	SR:PartialFunction	Map<K,V> = PartialFunction<K,V>	shared-root	one carrier, two realization authorities, selected by reference position
