file	line	col	expected	found
src/std_cache_interface.rs	638	12	Option<String>	None
src/std_cache_interface.rs	652	22	Rc<Measure<(), (), i64>>	Rc<Measure<(), (), Rc<i64>>>
src/std_cache_interface.rs	667	23	Rc<Measure<(), (), i64>>	Rc<Measure<(), (), Rc<i64>>>
src/std_cache_interface.rs	695	5	String	Option<String>
src/std_cache_interface.rs	699	5	String	Option<String>
src/std_cache_interface.rs	703	5	Rc<CacheInterfaceFacts>	Option<Rc<CacheInterfaceFacts>>
src/std_checked_arithmetic.rs	305	12	Rc<i64>	i64
src/std_measure.rs	488	18	Rc<i64>	i64
src/std_realization_measurement.rs	96	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), S, i64>>
src/std_realization_schedule.rs	64	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), _, i64>>
src/std_realization_schedule.rs	74	11	Rc<Measure<(), S, Rc<i64>>>	Rc<Measure<(), S, i64>>
src/std_realization_schedule.rs	83	19	Rc<Measure<_, _, i64>>	Rc<Measure<(), S, Rc<i64>>>
src/std_state_durability.rs	152	65	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>
src/std_state_durability.rs	163	70	Rc<StateDurabilityBoundary>	Rc<Vector<Rc<StateDurabilityBoundary>>>
src/std_state_durability.rs	291	152	StateDefinitionCallerAssertion	Vector<Rc<...>>
src/std_state_durability.rs	636	59	StateDurabilityBoundary	Vector<Rc<StateDurabilityBoundary>>
src/std_state_durability.rs	878	59	Rc<StateDurabilityEvidence<Target, ...>>	Rc<Vector<Rc<...>>>
src/v2_compiler_body_lowering_fold.rs	3163	13	Rc<Outcome<Option<Rc<Node>>>>	Rc<Outcome<Rc<Node>>>
src/v2_compiler_compile.rs	283	82	Witness<Rc<Node>>	Witness<Rc<Outcome<Rc<Witness<...>>>>>
src/v2_compiler_eval.rs	1192	83	Rc<EvaluationEnvironment>	Rc<InferredTree>
src/v2_compiler_eval.rs	1192	83	Rc<InferredFacts>	Rc<EvaluationEnvironment>
src/v2_compiler_eval.rs	1192	83	Rc<InferredTree>	Rc<im::Vector<Rc<RuntimeValue>>>
src/v2_compiler_eval.rs	1192	83	Rc<RuntimeBehaviorInterpreter>	Rc<InferredFacts>
