caller_module	caller_decl	callee	formal_index	formal_label	exempt	call_file	call_start	actual_file	actual_start	actual_end	formal_type	actual_type	why	outcome	cause
v2.std.node	bag_hash_digest	combine_hash	0	a	exempt	src/v2/std/node.dag	50822	src/v2/std/node.dag	50838	50841	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.std.node	bag_hash_digest	combine_hash	1	b	exempt	src/v2/std/node.dag	50822	src/v2/std/node.dag	50846	50847	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.std.node	content_hash_step	combine_hash	0	a	exempt	src/v2/std/node.dag	52014	src/v2/std/node.dag	52030	52033	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.std.node	content_hash_step	combine_hash	1	b	exempt	src/v2/std/node.dag	51993	src/v2/std/node.dag	52090	52095	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.std.node	content_hash_of_children	content_hash_step	0	acc	exempt	src/v2/std/node.dag	52707	src/v2/std/node.dag	52730	52733	Primitive(Hash)	Product(Fnv1a64Structural)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Hash aname=Fnv1a64Structural	WouldDiagnose	
v2.compiler.parse	parse_lexeme_digest	combine_hash	0	a	exempt	src/v2/compiler/02_parse.dag	20961	src/v2/compiler/02_parse.dag	20977	20980	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.compiler.parse	parse_token_stream_digest	combine_hash	0	a	exempt	src/v2/compiler/02_parse.dag	21305	src/v2/compiler/02_parse.dag	21334	21356	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.compiler.parse	parse_token_stream_digest	combine_hash	1	b	exempt	src/v2/compiler/02_parse.dag	21305	src/v2/compiler/02_parse.dag	21389	21411	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.compiler.parse	parse_token_stream_digest	combine_hash	1	b	exempt	src/v2/compiler/02_parse.dag	21453	src/v2/compiler/02_parse.dag	21649	21668	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.compiler.parse	parse_token_stream_digest	combine_hash	0	a	exempt	src/v2/compiler/02_parse.dag	21237	src/v2/compiler/02_parse.dag	21262	21265	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.compiler.parse	parse_table_subject	combine_hash	0	a	exempt	src/v2/compiler/02_parse.dag	23657	src/v2/compiler/02_parse.dag	23678	23679	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.compiler.parse	parse_table_subject	combine_hash	1	b	exempt	src/v2/compiler/02_parse.dag	23657	src/v2/compiler/02_parse.dag	23703	23704	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.compiler.parse	parse_table_subject	combine_hash	1	b	exempt	src/v2/compiler/02_parse.dag	23733	src/v2/compiler/02_parse.dag	23814	23836	Product(Fnv1a64Structural)	Primitive(Hash)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Fnv1a64Structural aname=Hash	WouldDiagnose	
v2.compiler.normalize	normalize	normalize_node	0	n	exempt	src/v2/compiler/03_normalize.dag	6581	src/v2/compiler/03_normalize.dag	6599	6609	Product(Node)	Primitive(ParseTree)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Node aname=ParseTree	WouldDiagnose	
v2.compiler.infer	infer_entries_for_tree	partial_bounded_lattice_instances_in_tree	0	tree	exempt	src/v2/compiler/04_infer.dag	70831	src/v2/compiler/04_infer.dag	70879	70883	Product(Node)	Primitive(ResolvedTree)	nominal=true container=false kernel=false bg_fa=false bg_af=false lookup_formal=true lookup_actual=true fname=Node aname=ResolvedTree	WouldDiagnose	
