calls	60656
1_resolved_span	10	src/v1/stage0/src/v1_compiler_emit.rs:1408	<kernel:Unit>
3_self_span	48	src/v1/stage0/src/v1_compiler_emit.rs:1408	<kernel:Unit>
3_self_span	9	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/extdeps/container/oci/digest.dag
3_self_span	101	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/extdeps/external_authority.dag
3_self_span	33	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/extdeps/languages/rust/capabilities.dag
3_self_span	7	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/extdeps/languages/rust/derive_contracts.dag
3_self_span	16	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/extdeps/languages/rust/emit.dag
3_self_span	11	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/extdeps/rust/cargo.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/extdeps/units/iso_80000_3.dag
3_self_span	45	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/extdeps/uri.dag
3_self_span	6	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/extdeps/uri_path.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/extdeps/version.dag
3_self_span	14	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/extdeps/version/semver.dag
3_self_span	8	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/gunbc/stage0_crate_partition_generated.dag
3_self_span	163	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/algebra.dag
3_self_span	12	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/checked_arithmetic.dag
3_self_span	42	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/coercion.dag
3_self_span	22	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/computation.dag
3_self_span	58	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/content_hash.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/currency.dag
3_self_span	30	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/decl_ref.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/disposition.dag
3_self_span	60	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/dissolution.dag
3_self_span	16	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/effects.dag
3_self_span	6	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/emit_model.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/execution_mode.dag
3_self_span	26	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/graph.dag
3_self_span	15	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/http_path.dag
3_self_span	255	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/induction.dag
3_self_span	10	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/interface_summary.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/keyed_roster.dag
3_self_span	8	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/logic.dag
3_self_span	22	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/measure.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/occurrence_binding.dag
3_self_span	182	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/occurrence_binding_candidates.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/occurrence_binding_resolve.dag
3_self_span	247	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/occurrence_identity.dag
3_self_span	90	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/pareto.dag
3_self_span	41	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/realization_schedule.dag
3_self_span	6	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/reference_binding_observation.dag
3_self_span	25	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/roster_frontier.dag
3_self_span	79	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/source_annotation.dag
3_self_span	58	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/syntax.dag
3_self_span	103	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/termination.dag
3_self_span	12	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/trait_derive_shape.dag
3_self_span	182	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/types.dag
3_self_span	3	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/unicode/types.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit.rs:1408	dag/std/witness_admission.dag
3_self_span	1173	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/00_core.dag
3_self_span	53	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/01_tokenize.dag
3_self_span	652	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/02_parse.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/03_normalize.dag
3_self_span	57	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/03_resolve.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_access.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_cycle.dag
3_self_span	227	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_emit_info.dag
3_self_span	265	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_env.dag
3_self_span	380	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_infer.dag
3_self_span	359	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_items.dag
3_self_span	9	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_lookup.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_occurrence_binding.dag
3_self_span	19	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_patterns.dag
3_self_span	20	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_resolve.dag
3_self_span	29	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_service.dag
3_self_span	38	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_sigs.dag
3_self_span	15	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/04_types.dag
3_self_span	37	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/05_emit.dag
3_self_span	19	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/05_emit_core_support.dag
3_self_span	120	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/05_emit_rust.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/annotation_bind.dag
3_self_span	121	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/artifact.dag
3_self_span	7	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/coercion.dag
3_self_span	38	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/compile.dag
3_self_span	138	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/complexity.dag
3_self_span	26	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/dag_collect_support.dag
3_self_span	24	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/expected_red_roster_join.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/frontend_observation.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/gunbc/namespace_reference_derived_closure_production_observations.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/gunbc/occurrence_binding_parser_walk.dag
3_self_span	33	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/languages.dag
3_self_span	62	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/ownership.dag
3_self_span	29	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/stage0_crates.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/tests/fixtures/whole_tree_wiring_enum/common.dag
3_self_span	20	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/trace.dag
3_self_span	30	src/v1/stage0/src/v1_compiler_emit.rs:1408	src/v1/trait_derive_emit.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1477	<kernel:K>
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1477	<kernel:N>
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1477	<kernel:V>
3_self_span	1131	src/v1/stage0/src/v1_compiler_emit.rs:1783	<kernel:Bool>
3_self_span	2	src/v1/stage0/src/v1_compiler_emit.rs:1783	<kernel:Hash>
3_self_span	3680	src/v1/stage0/src/v1_compiler_emit.rs:1783	<kernel:Int>
