1773359382.801792 server started (2742): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1773359382.801811 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1773359382.801817 using libevent 2.1.12-stable poll
1773359382.801819 using ncurses 6.4 20240113
1773359382.801871 input_key_build: 0x10e003 (PasteStart) is \033[200~
1773359382.801878 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1773359382.801881 input_key_build: 0x10e195 (F1) is \033OP
1773359382.801883 input_key_build: 0x10e196 (F2) is \033OQ
1773359382.801885 input_key_build: 0x10e197 (F3) is \033OR
1773359382.801887 input_key_build: 0x10e198 (F4) is \033OS
1773359382.801889 input_key_build: 0x10e199 (F5) is \033[15~
1773359382.801890 input_key_build: 0x10e19a (F6) is \033[17~
1773359382.801892 input_key_build: 0x10e19b (F7) is \033[18~
1773359382.801894 input_key_build: 0x10e19c (F8) is \033[19~
1773359382.801896 input_key_build: 0x10e19d (F9) is \033[20~
1773359382.801897 input_key_build: 0x10e19e (F10) is \033[21~
1773359382.801899 input_key_build: 0x10e19f (F11) is \033[23~
1773359382.801901 input_key_build: 0x10e1a0 (F12) is \033[24~
1773359382.801903 input_key_build: 0x10e1a1 (IC) is \033[2~
1773359382.801905 input_key_build: 0x10e1a2 (DC) is \033[3~
1773359382.801907 input_key_build: 0x10e1a3 (Home) is \033[1~
1773359382.801908 input_key_build: 0x10e1a4 (End) is \033[4~
1773359382.801910 input_key_build: 0x10e1a5 (NPage) is \033[6~
1773359382.801916 input_key_build: 0x10e1a6 (PPage) is \033[5~
1773359382.801918 input_key_build: 0x10e1a7 (BTab) is \033[Z
1773359382.801920 input_key_build: 0x10e1a8 (Up) is \033[A
1773359382.801922 input_key_build: 0x10e1a9 (Down) is \033[B
1773359382.801924 input_key_build: 0x10e1aa (Left) is \033[D
1773359382.801926 input_key_build: 0x10e1ab (Right) is \033[C
1773359382.801927 input_key_build: 0x10e1ac (KP/) is /
1773359382.801929 input_key_build: 0x10e1ad (KP*) is *
1773359382.801931 input_key_build: 0x10e1ae (KP-) is -
1773359382.801933 input_key_build: 0x10e1af (KP7) is 7
1773359382.801935 input_key_build: 0x10e1b0 (KP8) is 8
1773359382.801937 input_key_build: 0x10e1b1 (KP9) is 9
1773359382.801938 input_key_build: 0x10e1b2 (KP+) is +
1773359382.801940 input_key_build: 0x10e1b3 (KP4) is 4
1773359382.801942 input_key_build: 0x10e1b4 (KP5) is 5
1773359382.801944 input_key_build: 0x10e1b5 (KP6) is 6
1773359382.801945 input_key_build: 0x10e1b6 (KP1) is 1
1773359382.801947 input_key_build: 0x10e1b7 (KP2) is 2
1773359382.801949 input_key_build: 0x10e1b8 (KP3) is 3
1773359382.801951 input_key_build: 0x10e1b9 (KPEnter) is \n
1773359382.801953 input_key_build: 0x10e1ba (KP0) is 0
1773359382.801955 input_key_build: 0x10e1bb (KP.) is .
1773359382.801957 input_key_build: 0x200000000009 (C-Tab) is \t
1773359382.801958 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1773359382.801963 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1773359382.801965 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1773359382.801967 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1773359382.801969 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1773359382.801971 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1773359382.801973 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1773359382.801975 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1773359382.801976 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1773359382.801978 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1773359382.801980 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1773359382.801982 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1773359382.801984 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1773359382.801986 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1773359382.801988 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1773359382.801990 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
