tag	file	name	candidate_modules
compile	dag/ctrl/code_change_workflow.dag	Closed	extdeps.github.actions,extdeps.github.pulls,gunbc.workflow.types
compile	dag/ctrl/code_change_workflow.dag	PullRequest	extdeps.github.actions,extdeps.github.pulls
compile	dag/ctrl/code_change_workflow.dag	Open	extdeps.github.pulls,gunbc.workflow.types,v2.test.fixture.task_manager_demo
compile	dag/ctrl/pr_digests.dag	PullRequest	extdeps.github.actions,extdeps.github.pulls
compile	dag/examples/gunbhub_serve_program/gunbhub_serve_program.dag	GET	std.types,v2.std.network
compile	dag/examples/gunbhub_serve_program/gunbhub_serve_program.dag	ExitSuccess	extdeps.transports.shell,std.process
compile	dag/examples/html_markup_smoke/html_markup_smoke.dag	ExitSuccess	extdeps.transports.shell,std.process
compile	dag/examples/js_site/js_site.dag	Medium	extdeps.communication.medium,product.network_topology,std.behavioral
compile	dag/examples/js_site/js_site_emit.dag	Filesystem	extdeps.filesystem.filesystem_io,std.resources,v2.extdeps.file_system
compile	dag/examples/js_site/js_site_emit.dag	ExitSuccess	extdeps.transports.shell,std.process
compile	dag/extdeps/cache/buildbuddy.dag	Never	std.cache_interface,v2.std.cardinality
compile	dag/extdeps/cache/buildbuddy.dag	ApiKey	std.cache_interface,std.types
compile	dag/extdeps/cache/buildbuddy.dag	Network	std.cache_interface,std.resources
compile	dag/extdeps/cache/cache.dag	CargoTargetDir	gunbc.gitignore_model,std.cache_identity
compile	dag/extdeps/cache/github_actions.dag	ApiKey	std.cache_interface,std.types
compile	dag/extdeps/cache/key_completeness.dag	Holds	std.lens_verdict,v2.std.witness
compile	dag/extdeps/cache/materialization.dag	Never	std.cache_interface,v2.std.cardinality
compile	dag/extdeps/cache/materialization.dag	Frame	std.materialization_ladder,std.render
compile	dag/extdeps/cache/rustup.dag	Never	std.cache_interface,v2.std.cardinality
compile	dag/extdeps/cloud/gcp/gcp.dag	POST	std.types,v2.std.network
compile	dag/extdeps/cloud/gcp/iam.dag	Json	std.serialization,std.types
compile	dag/extdeps/cloud/gcp/iam.dag	POST	std.types,v2.std.network
compile	dag/extdeps/cloud/gcp/iam_admin.dag	POST	std.types,v2.std.network
compile	dag/extdeps/cloud/gcp/secret_manager.dag	GET	std.types,v2.std.network
compile	dag/extdeps/cloud/gcp/secret_manager.dag	POST	std.types,v2.std.network
compile	dag/extdeps/cloud/gcp/serviceusage.dag	POST	std.types,v2.std.network
compile	dag/extdeps/cloud/gcp/sts.dag	POST	std.types,v2.std.network
compile	dag/extdeps/cloud/gcp/sts.dag	GET	std.types,v2.std.network
compile	dag/extdeps/cloud/hetzner.dag	Aarch64	extdeps.os.ubuntu_install_media,extdeps.toolchain.types
compile	dag/extdeps/cloud/ubicloud.dag	Aarch64	extdeps.os.ubuntu_install_media,extdeps.toolchain.types
compile	dag/extdeps/container/oci/ctrl_session_witness.dag	Aarch64	extdeps.os.ubuntu_install_media,extdeps.toolchain.types
compile	dag/extdeps/container/oci/types.dag	Aarch64	extdeps.os.ubuntu_install_media,extdeps.toolchain.types
compile	dag/extdeps/cpu/ampere.dag	Aarch64	extdeps.os.ubuntu_install_media,extdeps.toolchain.types
compile	dag/extdeps/docker/container_inspect.dag	GET	std.types,v2.std.network
compile	dag/extdeps/docker/container_inspect_contracts.dag	SnakeCase	std.languages,std.serialization,v1.compiler.languages
compile	dag/extdeps/docker/container_stats.dag	GET	std.types,v2.std.network
compile	dag/extdeps/ebay/ebay_contracts.dag	ScreamingSnakeCase	std.languages,std.serialization
compile	dag/extdeps/ebay/inventory.dag	POST	std.types,v2.std.network
compile	dag/extdeps/ebay/inventory.dag	GET	std.types,v2.std.network
compile	dag/extdeps/ebay/inventory.dag	PUT	std.types,v2.std.network
compile	dag/extdeps/ebay/oauth.dag	POST	std.types,v2.std.network
compile	dag/extdeps/filesystem/ntfs.dag	Directory	std.filesystem.types,v2.extdeps.file_system
compile	dag/extdeps/filesystem/ntfs.dag	RegularFile	std.filesystem.types,v2.extdeps.file_system
compile	dag/extdeps/filesystem/ntfs.dag	Other	std.behavioral,std.filesystem.types
compile	dag/extdeps/filesystem/ntfs.dag	Symlink	std.filesystem.types,v2.extdeps.file_system
